FID,Codigo,Texto,ACCIDENTES_CON_VICTIMAS_EN_VIAS,ACCIDENTES_MORTALES_EN_VIAS_INT,FALLECIDOS_VIAS_INTERURBANAS,HERIDOS_HOSPITALIZADOS_EN_VIAS_,ACCIDENTES_CON_VICTIMAS_EN_VI_1,ACCIDENTES_MORTALES_EN_VIAS_URB,FALLECIDOS_VIAS_URBANAS,HERIDOS_HOSPITALIZADOS_EN_VIAS1,SHAPE_Length,SHAPE_Area
1,,Araba/Álava,293,8,10,42,713,3,3,21,7.10994357592527,0.328928251522665
2,,Albacete,171,21,21,50,519,3,3,45,7.87785468819286,1.54831335741305
3,,Alicante/Alacant,1266,41,46,119,1762,22,22,172,5.58702815852656,0.600567627262512
4,,Almería,532,27,30,84,181,9,10,24,6.13732817457615,0.890607148917108
5,,Ávila,256,10,12,45,186,0,0,15,6.57303842177874,0.856082632172239
6,,Badajoz,348,28,29,84,541,9,9,55,11.6560919560526,2.25452338695189
"7,,""Balears, Illes"",1383,41,50,205,2438,10,10,139,15.0778200334378,0.52232293939444"
8,,Barcelona,5485,52,57,451,15425,73,74,651,8.58547731880974,0.836655551786076
9,,Burgos,333,21,28,106,512,8,8,43,11.9970246338443,1.5621829669098
10,,Cáceres,271,16,19,41,148,5,5,14,9.96807620692207,2.08697726013876
11,,Cádiz,604,22,23,79,2153,17,18,132,7.25597656646511,0.748495541121399
12,,Castellón/Castelló,446,32,33,94,340,10,10,47,5.42332013180606,0.701991507063243
13,,Ciudad Real,301,23,27,53,374,3,3,24,9.88627584428832,2.0581423096061
14,,Córdoba,450,17,18,68,909,4,4,83,8.31349049584768,1.41244555504255
"15,,""Coruña, A"",1072,45,45,209,906,13,13,95,12.9138773819056,0.879452413768569"
16,,Cuenca,216,11,13,63,78,2,2,11,7.96051894289838,1.80502567626902
17,,Girona,1290,31,40,165,1411,15,15,108,8.464938684839,0.643462793829953
18,,Granada,858,21,24,110,1073,3,3,86,7.3217374496953,1.28551464636638
19,,Guadalajara,185,5,5,33,69,2,2,7,8.51810021219152,1.30339968993782
20,,Gipuzkoa,946,12,13,134,992,4,4,69,3.76871059003747,0.221260853645111
21,,Huelva,438,15,15,51,206,4,4,41,6.72762530917677,1.03305415253017
22,,Huesca,285,14,15,77,178,5,6,27,8.50859651355326,1.7049484866096
23,,Jaén,405,20,21,77,520,9,10,37,6.88542942650581,1.38465676602684
24,,León,489,11,12,104,410,12,13,85,8.95610711457699,1.70971363816414
25,,Lleida,867,33,33,129,449,4,4,59,9.02990694897485,1.32373945871515
"26,,""Rioja, La"",263,17,21,25,449,4,4,35,6.1312569981038,0.550568508872804"
27,,Lugo,355,27,29,88,256,3,3,26,7.62109262059494,1.08846799519419
28,,Madrid,3154,54,61,202,13004,58,60,1052,7.89548673020944,0.85305650486972
29,,Málaga,862,34,36,142,1353,21,21,110,6.39496261452968,0.738085608161524
30,,Murcia,375,32,39,101,1929,18,19,140,7.38916584819792,1.16046835774024
31,,Navarra,251,18,19,69,480,7,7,67,8.82012851880994,1.1445839248601
32,,Ourense,232,11,12,59,190,3,3,27,6.38672154007328,0.792975951275748
33,,Asturias,897,25,26,131,1327,9,9,101,9.5974302742056,1.17614331476699
34,,Palencia,143,9,11,36,107,2,2,14,7.54789667514998,0.879962048896525
"35,,""Palmas, Las"",681,25,27,91,633,12,13,39,8.92386508187693,0.372811413064958"
36,,Pontevedra,1163,29,30,180,563,6,6,80,8.49847771385702,0.491145413825517
37,,Salamanca,273,7,7,39,389,3,3,35,7.53422859912119,1.31792845528649
38,,Santa Cruz de Tenerife,1125,18,18,167,1132,13,13,94,8.15191570771404,0.310469586004982
39,,Cantabria,546,10,10,58,164,8,11,9,8.12488900470517,0.589775777195509
40,,Segovia,207,14,15,29,105,1,1,9,5.38778427897287,0.742797524737151
41,,Sevilla,1170,32,39,164,3863,27,27,165,9.30198678867323,1.42899364779498
42,,Soria,102,15,18,31,41,1,1,10,6.97202553786461,1.11346370716038
43,,Tarragona,1133,36,52,129,933,7,7,108,7.49711786795115,0.675556295892998
44,,Teruel,146,8,9,52,36,0,0,9,9.236813217702,1.57708665633622
45,,Toledo,640,33,36,112,266,6,6,27,9.84066729296927,1.61604223151811
46,,Valencia/Valéncia,1759,50,52,235,2643,17,17,198,7.98701059432057,1.12973668365593
47,,Valladolid,324,12,14,46,580,10,10,46,7.79729725346534,0.87640528047478
48,,Bizkaia,969,17,17,59,954,9,9,64,4.91833586846045,0.244565195346119
49,,Zamora,112,15,17,41,12,3,3,2,8.1133784181653,1.14286429157915
50,,Zaragoza,608,32,37,86,921,6,6,123,12.3769038742161,1.86624215183503
51,,Ceuta,41,0,0,5,256,2,2,11,0.418383323383526,0.0019247205063227
52,,Melilla,0,0,0,0,562,1,1,14,0.247952689565322,0.00131302045197785
