Género;Edad;¿Paga en efectivo?;¿Compra on-line?;Gasto medio mensual
Hombre;37;No;No;210,13
Mujer;20;No;No;108,73
Hombre;53;Si;Si;228,54
Hombre;56;Si;Si;215,74
Mujer;31;Si;No;208,97
Mujer;55;No;No;251,81
Hombre;57;Si;Si;222,17
Mujer;33;Si;No;219,67
Mujer;57;No;Si;243,84
Hombre;62;No;Si;199,84
Hombre;61;No;No;196,65
Mujer;50;No;Si;257,88
Hombre;26;No;No;157,52
Mujer;35;Si;No;230,85
Mujer;69;No;No;168,45
Hombre;59;Si;No;225,32
Mujer;52;No;No;261,16
Hombre;69;No;No;169,01
Mujer;59;No;Si;233,76
Mujer;37;Si;Si;234,42
Mujer;47;No;Si;264,36
Mujer;29;Si;Si;191,98
Hombre;58;No;Si;210,59
Hombre;29;No;No;172,46
Mujer;56;Si;Si;246,86
Mujer;61;Si;Si;221,49
Mujer;39;No;No;246,94
Mujer;32;Si;Si;211,07
Mujer;32;Si;No;211,29
Mujer;40;Si;No;252,23
Hombre;46;Si;Si;215,91
Hombre;49;Si;Si;230,89
Mujer;49;Si;Si;258,92
Mujer;46;Si;Si;260,44
Mujer;68;No;No;178,26
Hombre;67;Si;Si;168,3
Hombre;44;Si;Si;211,2
Mujer;68;Si;Si;176,18
Mujer;35;Si;Si;230,3
Hombre;62;No;Si;197,38
Hombre;51;No;No;230,76
Mujer;39;Si;No;244,33
Hombre;40;No;No;218,01
Hombre;39;No;Si;214,73
Hombre;51;Si;Si;244,47
Mujer;24;Si;Si;151,72
Hombre;36;No;No;197,14
Hombre;53;Si;No;220,03
Hombre;61;No;Si;193,19
Hombre;65;No;No;171,27
Hombre;19;No;Si;116,94
Hombre;33;Si;Si;174,83
Hombre;29;Si;No;149,33
Hombre;53;Si;Si;218,24
Mujer;43;No;No;256,95
Mujer;58;Si;Si;242,25
Hombre;38;No;Si;217,22
Mujer;21;No;No;118,26
Mujer;36;Si;Si;236,98
Mujer;66;Si;Si;191,53
Hombre;70;Si;No;164,81
Mujer;70;Si;Si;160,7
Mujer;68;Si;Si;175,45
Mujer;66;Si;No;193,69
Hombre;21;Si;Si;125,18
Mujer;47;Si;Si;262,72
Mujer;60;Si;Si;230,51
Hombre;61;No;Si;191,69
Hombre;37;No;No;210,08
Hombre;42;No;Si;217,08
Hombre;54;Si;No;224,31
Mujer;32;Si;Si;213,38
Mujer;19;No;Si;95,98
Hombre;59;No;Si;213,09
Mujer;32;Si;No;212,72
Hombre;47;No;No;220,52
Mujer;39;Si;No;248,05
Hombre;60;No;Si;210,19
Hombre;26;Si;Si;130,49
Hombre;49;No;Si;206,69
Hombre;54;Si;No;223,93
Mujer;51;Si;Si;259,13
Mujer;36;No;Si;235,96
Mujer;37;No;No;239,28
Hombre;62;No;Si;199,39
Hombre;62;Si;No;198,86
Mujer;33;Si;Si;216,08
Hombre;31;Si;Si;181,27
Hombre;62;Si;Si;200,86
Hombre;59;No;Si;214,85
Hombre;41;No;Si;227,51
Mujer;55;Si;No;255,66
Mujer;20;No;Si;110,99
Hombre;48;No;Si;227,34
Mujer;60;No;No;225,47
Hombre;65;No;No;189,61
Mujer;66;Si;Si;189,12
Hombre;20;Si;Si;113,07
Mujer;49;Si;Si;256
Mujer;43;Si;Si;257,23
Mujer;66;Si;Si;193,74
Hombre;48;Si;Si;221,84
Hombre;23;No;No;122,04
Hombre;66;Si;No;176,29
Mujer;52;No;No;257,87
Mujer;69;Si;Si;171,09
Mujer;46;Si;No;262,97
Mujer;67;Si;No;185,52
Hombre;64;No;Si;189,46
Mujer;41;Si;Si;252,17
Mujer;27;Si;No;175,99
Mujer;69;Si;Si;168,08
Hombre;48;Si;Si;226,29
Mujer;26;Si;Si;166,84
Mujer;37;Si;No;241,77
Hombre;35;No;Si;196,44
Mujer;67;Si;Si;187,87
Mujer;55;Si;No;251,03
Hombre;46;No;No;224,17
Hombre;41;Si;Si;224,6
Mujer;35;Si;Si;230,72
Mujer;63;Si;No;213,27
Hombre;65;No;No;181,45
Hombre;63;No;No;201,5
