Fecha,IBEX,DJ
31.07.2022,8161.9,32755.71
24.07.2022,8021.9,31986.05
17.07.2022,8004.7,31559
10.07.2022,7994.4,31183.56
03.07.2022,8226.2,30701.12
26.06.2022,8266.1,31565.07
19.06.2022,8180.4,30074.69
12.06.2022,8312.9,31144.91
05.06.2022,8785.3,33032.04
29.05.2022,8975.6,33027.03
22.05.2022,8600.4,31497.56
15.05.2022,8316.3,32152.15
08.05.2022,8280.1,32516.03
01.05.2022,8516.6,32978.49
24.04.2022,8535.6,33731.65
17.04.2022,8677,34411.49
10.04.2022,8580.9,34630.27
03.04.2022,8536.1,34799.98
27.03.2022,8354.4,34833.03
20.03.2022,8417.3,34669.85
13.03.2022,8228.9,33000.37
06.03.2022,7510.4,33579.75
27.02.2022,8302.8,33870.62
20.02.2022,8638.8,33974.09
13.02.2022,8583.9,34694.5
06.02.2022,8646.3,35108.38
30.01.2022,8697.1,34691.17
23.01.2022,8660,34070.61
16.01.2022,8848.4,35661.76
09.01.2022,8771.4,36175.21
02.01.2022,8729.7,36321.59
26.12.2021,8512.2,35954.48
19.12.2021,8113.5,35222.12
12.12.2021,8380.6,35958.93
05.12.2021,8323.8,34633.43
28.11.2021,8487.6,35017.71
21.11.2021,8774.1,35631.41
14.11.2021,9036.1,36128.83
07.11.2021,9133.1,36416.46
31.10.2021,9064.6,35833.65
24.10.2021,8932.8,35692.62
17.10.2021,8984.4,35221.02
10.10.2021,8929.4,34723.79
03.10.2021,8801.7,34312.96
26.09.2021,8925.1,34739.27
19.09.2021,8643.7,34459.72
12.09.2021,8724.2,34665.5
05.09.2021,8889.5,35373.24
29.08.2021,8925.7,35471.8
22.08.2021,8973.4,35160.97
15.08.2021,8933.7,35490.83
08.08.2021,8870.2,35229.67
01.08.2021,8723.3,34968.56
25.07.2021,8655.1,35055.86
18.07.2021,8450.9,34528.48
11.07.2021,8791.9,34836.75
04.07.2021,8900.5,34790.16
27.06.2021,9075.5,34428.1
20.06.2021,8970.1,33312.07
13.06.2021,9238.7,34472.52
06.06.2021,9076.1,34766.2
30.05.2021,9224.2,34584.19
23.05.2021,9230.4,34253.87
16.05.2021,9166.7,34375.29
09.05.2021,9121.5,34785.27
02.05.2021,8821.6,33904.89
25.04.2021,8629.9,34044.23
18.04.2021,8613.8,34182.38
11.04.2021,8556.1,33775.06
04.04.2021,8673.2,33222.38
28.03.2021,8502.8,33087.55
21.03.2021,8430.2,32601.82
14.03.2021,8689.9,32798.84
07.03.2021,8358,31512.15
28.02.2021,8324.6,31065.9
21.02.2021,8119.6,31381.12
14.02.2021,8124.4,31472.08
07.02.2021,8251.8,31191.2
31.01.2021,7823,30054.73
24.01.2021,8076.9,30989.85
17.01.2021,8194.7,30887.42
10.01.2021,8369.2,31015.37
03.01.2021,8191.8,30627.47
27.12.2020,8179.3,30283.23
20.12.2020,7860.9,30159
13.12.2020,8160.2,30123.91
06.12.2020,8283.3,30233.03
29.11.2020,8130.6,29854.51
22.11.2020,8029.1,29332.82
15.11.2020,7905.9,29672.36
08.11.2020,6972.3,29467.9
01.11.2020,6481.4,26691.28
25.10.2020,6797.9,28185.82
18.10.2020,6882.1,28633.55
11.10.2020,6968.8,28671.12
04.10.2020,6814.5,27825.42
27.09.2020,6709.2,27362.14
20.09.2020,6892.9,27484.71
13.09.2020,6989.8,27718.74
06.09.2020,7032.8,27925.23
30.08.2020,7174.3,28643.66
23.08.2020,7044.2,28077.58
16.08.2020,7141.5,27970.05
09.08.2020,7004.4,27488.21
02.08.2020,6867.4,26542.32
26.07.2020,7267.8,26447.67
19.07.2020,7442.5,26660.29
12.07.2020,7403.2,26225.07
05.07.2020,7566.5,25996.08
28.06.2020,7160.1,25152.45
21.06.2020,7371.6,25865.08
14.06.2020,7116.9,25270.39
07.06.2020,7813.1,27232.93
31.05.2020,7228.7,25342.99
24.05.2020,6766.6,24781.84
17.05.2020,6583.1,24059.98
10.05.2020,6830.9,24256.45
03.05.2020,6767.7,23581.55
26.04.2020,6780.9,23866.15
19.04.2020,6932.5,24095.1
12.04.2020,7209.7,23698.93
05.04.2020,6807.9,21693.63
29.03.2020,6748.6,21678.22
22.03.2020,6223.7,19028.36
15.03.2020,6331,20917.53
08.03.2020,7884,24992.36
01.03.2020,8910.2,25590.51
23.02.2020,9649.8,28402.93
16.02.2020,9979.2,29282.78
09.02.2020,9790.6,28995.66
02.02.2020,9404.4,28319.65
26.01.2020,9447.1,28542.49
19.01.2020,9676.6,29269.05
12.01.2020,9586.6,28869.01
05.01.2020,9585.4,28465.5
29.12.2019,9672.5,28654.76
22.12.2019,9650.2,28491.78
15.12.2019,9607.9,28191.67
08.12.2019,9378.2,27987.05
01.12.2019,9367.2,28109.74
24.11.2019,9300,27917.77
17.11.2019,9265.1,27993.22
10.11.2019,9370.3,27580.66
03.11.2019,9376.5,27402.06
27.10.2019,9432.3,27040.33
20.10.2019,9350.3,26852.67
13.10.2019,9229.2,26766.43
06.10.2019,8954.7,26502.33
29.09.2019,9194.8,26852.33
22.09.2019,9154.9,26851.45
15.09.2019,9099.9,27146.06
08.09.2019,8997.7,26866.23
