Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;;A Total Delitos;;;;2020;311271
Total Nacional;;A Total Delitos;;;;2019;412571
Total Nacional;;A Total Delitos;;;;2018;406327
Total Nacional;;A Total Delitos;;;;2017;394301
Total Nacional;;A Total Delitos;;;;2016;365202
Total Nacional;;A Total Delitos;;;;2015;288756
Total Nacional;;A Total Delitos;;;;2014;277956
Total Nacional;;A Total Delitos;;;;2013;275196
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2020;1036
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2019;1099
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2018;1087
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2017;1158
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2016;1252
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2015;1355
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2014;1295
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;;;2013;1427
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;352
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;340
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;329
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;364
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;430
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;463
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;492
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;513
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;219
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;205
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;170
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;200
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;202
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;264
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;244
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;297
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;464
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;553
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;587
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;593
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;613
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;628
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;559
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;616
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;1
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;7
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;1
Total Nacional;;A Total Delitos;3 Lesiones;;;2020;53105
Total Nacional;;A Total Delitos;3 Lesiones;;;2019;69437
Total Nacional;;A Total Delitos;3 Lesiones;;;2018;67472
Total Nacional;;A Total Delitos;3 Lesiones;;;2017;65519
Total Nacional;;A Total Delitos;3 Lesiones;;;2016;55272
Total Nacional;;A Total Delitos;3 Lesiones;;;2015;37082
Total Nacional;;A Total Delitos;3 Lesiones;;;2014;34136
Total Nacional;;A Total Delitos;3 Lesiones;;;2013;33767
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2020;22369
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2019;27828
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2018;27003
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2017;25783
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2016;21635
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2015;12821
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2014;10947
Total Nacional;;A Total Delitos;6 Contra la libertad;;;2013;10785
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;17983
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;22398
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;21986
Total Nacional;;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;21149
