"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.07.2022","32.801,51","32.755,71","32.971,43","32.388,30","","-0,14%"
"24.07.2022","32.846,45","31.986,05","32.906,21","31.705,93","","2,96%"
"17.07.2022","31.900,61","31.559,00","32.219,25","30.982,97","","1,96%"
"10.07.2022","31.286,02","31.183,56","31.367,29","30.145,31","","-0,17%"
"03.07.2022","31.339,20","30.701,12","31.509,74","30.355,33","","0,78%"
"26.06.2022","31.097,46","31.565,07","31.885,09","30.432,22","","-1,29%"
"19.06.2022","31.503,71","30.074,69","31.513,93","30.074,69","","5,42%"
"12.06.2022","29.885,08","31.144,91","31.144,91","29.654,59","","-4,80%"
"05.06.2022","31.392,36","33.032,04","33.234,91","31.387,84","","-4,58%"
"29.05.2022","32.898,91","33.027,03","33.270,83","32.512,06","","-0,95%"
"22.05.2022","33.213,55","31.497,56","33.213,62","31.367,33","","6,25%"
"15.05.2022","31.260,58","32.152,15","32.687,62","30.635,76","","-2,91%"
"08.05.2022","32.195,94","32.516,03","32.749,19","31.231,27","915,77M","-2,14%"
"01.05.2022","32.899,37","32.978,49","34.117,74","32.449,87","2,10B","-0,24%"
"24.04.2022","32.977,21","33.731,65","34.106,01","32.913,15","2,23B","-2,47%"
"17.04.2022","33.811,40","34.411,49","35.492,22","33.773,39","1,66B","-1,86%"
"10.04.2022","34.451,23","34.630,27","34.889,17","34.102,81","1,34B","-0,78%"
"03.04.2022","34.721,12","34.799,98","35.112,21","34.190,95","1,64B","-0,28%"
"27.03.2022","34.818,27","34.833,03","35.372,26","34.538,25","1,77B","-0,12%"
"20.03.2022","34.861,24","34.669,85","34.942,70","34.341,81","1,74B","0,31%"
"13.03.2022","34.754,93","33.000,37","34.755,20","32.818,16","2,19B","5,50%"
"06.03.2022","32.944,19","33.579,75","33.579,75","32.578,73","2,24B","-1,99%"
"27.02.2022","33.614,80","33.870,62","34.179,07","33.107,67","2,08B","-1,30%"
"20.02.2022","34.058,75","33.974,09","34.095,74","32.272,64","1,83B","-0,06%"
"13.02.2022","34.079,18","34.694,50","35.047,79","33.976,18","1,75B","-1,90%"
"06.02.2022","34.738,06","35.108,38","35.824,28","34.620,52","1,83B","-1,00%"
"30.01.2022","35.089,74","34.691,17","35.679,20","34.496,10","1,97B","1,05%"
"23.01.2022","34.725,47","34.070,61","34.815,67","33.150,33","2,85B","1,34%"
"16.01.2022","34.265,37","35.661,76","35.661,76","34.229,55","1,71B","-4,58%"
"09.01.2022","35.911,81","36.175,21","36.513,88","35.639,91","1,87B","-0,88%"
"02.01.2022","36.231,66","36.321,59","36.952,65","36.111,53","2,00B","-0,29%"
"26.12.2021","36.338,30","35.954,48","36.679,44","35.954,48","1,13B","1,08%"
"19.12.2021","35.950,56","35.222,12","36.060,99","34.665,50","1,28B","1,65%"
"12.12.2021","35.365,44","35.958,93","36.189,83","35.284,26","2,58B","-1,68%"
"05.12.2021","35.970,99","34.633,43","35.982,69","34.633,43","2,00B","4,02%"
"28.11.2021","34.580,08","35.017,71","35.287,91","34.006,98","2,51B","-0,91%"
"21.11.2021","34.899,34","35.631,41","35.929,66","34.749,80","1,43B","-1,97%"
"14.11.2021","35.601,98","36.128,83","36.316,61","35.555,37","1,80B","-1,38%"
"07.11.2021","36.100,31","36.416,46","36.565,73","35.915,27","1,39B","-0,63%"
"31.10.2021","36.327,95","35.833,65","36.484,75","35.797,97","1,52B","1,42%"
"24.10.2021","35.819,56","35.692,62","35.892,92","35.490,43","1,71B","0,40%"
"17.10.2021","35.677,02","35.221,02","35.765,02","35.035,94","1,52B","1,08%"
"10.10.2021","35.294,76","34.723,79","35.320,97","34.115,10","1,56B","1,58%"
"03.10.2021","34.746,25","34.312,96","34.975,19","33.821,58","1,55B","1,22%"
"26.09.2021","34.326,46","34.739,27","35.061,12","33.785,54","1,75B","-1,36%"
"19.09.2021","34.798,00","34.459,72","34.879,78","33.613,03","1,59B","0,62%"
"12.09.2021","34.584,88","34.665,50","34.990,36","34.510,30","1,85B","-0,07%"
"05.09.2021","34.607,72","35.373,24","35.373,24","34.599,61","1,15B","-2,15%"
"29.08.2021","35.369,09","35.471,80","35.510,71","35.269,40","1,34B","-0,24%"
"22.08.2021","35.455,80","35.160,97","35.501,14","35.160,97","1,20B","0,96%"
"15.08.2021","35.120,08","35.490,83","35.631,19","34.690,25","1,50B","-1,11%"
"08.08.2021","35.515,38","35.229,67","35.610,57","35.041,24","1,17B","0,87%"
"01.08.2021","35.208,51","34.968,56","35.246,79","34.714,33","1,20B","0,78%"
"25.07.2021","34.935,47","35.055,86","35.171,52","34.871,13","1,45B","-0,36%"
"18.07.2021","35.061,55","34.528,48","35.095,33","33.741,76","1,78B","1,08%"
"11.07.2021","34.687,85","34.836,75","35.090,01","34.647,82","1,62B","-0,52%"
"04.07.2021","34.870,16","34.790,16","34.893,72","34.145,59","1,29B","0,24%"
"27.06.2021","34.786,35","34.428,10","34.821,93","34.186,13","1,44B","1,02%"
"20.06.2021","34.433,84","33.312,07","34.501,02","33.312,07","1,60B","3,44%"
"13.06.2021","33.290,08","34.472,52","34.472,52","33.271,93","1,85B","-3,45%"
"06.06.2021","34.479,60","34.766,20","34.820,91","34.328,65","1,38B","-0,80%"
"30.05.2021","34.756,39","34.584,19","34.849,32","34.334,41","1,13B","0,66%"
"23.05.2021","34.529,45","34.253,87","34.631,11","34.253,87","1,61B","0,94%"
"16.05.2021","34.207,84","34.375,29","34.415,48","33.473,80","1,58B","-0,51%"
"09.05.2021","34.382,13","34.785,27","35.091,56","33.555,22","1,83B","-1,14%"
"02.05.2021","34.777,76","33.904,89","34.811,39","33.765,68","1,59B","2,67%"
"25.04.2021","33.874,85","34.044,23","34.148,94","33.744,28","1,72B","-0,50%"
"18.04.2021","34.043,49","34.182,38","34.182,38","33.687,01","1,66B","-0,46%"
"11.04.2021","34.200,67","33.775,06","34.256,75","33.545,84","1,65B","1,18%"
"04.04.2021","33.800,60","33.222,38","33.810,87","33.222,38","1,55B","1,95%"
"28.03.2021","33.153,21","33.087,55","33.259,00","32.905,13","1,40B","0,24%"
"21.03.2021","33.072,88","32.601,82","33.098,83","32.071,41","1,97B","1,36%"
"14.03.2021","32.627,97","32.798,84","33.227,78","32.505,07","2,41B","-0,46%"
"07.03.2021","32.778,64","31.512,15","32.793,32","31.512,15","2,12B","4,07%"
"28.02.2021","31.496,30","31.065,90","31.668,34","30.547,53","2,20B","1,82%"
"21.02.2021","30.932,37","31.381,12","32.009,64","30.911,37","2,26B","-1,78%"
"14.02.2021","31.494,32","31.472,08","31.647,53","31.285,32","1,36B","0,11%"
"07.02.2021","31.458,40","31.191,20","31.543,82","31.191,20","1,52B","1,00%"
"31.01.2021","31.148,24","30.054,73","31.252,18","30.014,97","1,63B","3,89%"
"24.01.2021","29.982,62","30.989,85","31.121,42","29.856,30","2,43B","-3,27%"
"17.01.2021","30.996,98","30.887,42","31.272,22","30.865,03","1,63B","0,59%"
"10.01.2021","30.814,26","31.015,37","31.223,78","30.612,67","2,01B","-0,91%"
"03.01.2021","31.097,97","30.627,47","31.193,40","29.881,82","2,14B","1,61%"
"27.12.2020","30.606,48","30.283,23","30.637,47","30.274,24","1,25B","1,35%"
"20.12.2020","30.199,87","30.159,00","30.304,14","29.755,53","1,26B","0,07%"
"13.12.2020","30.179,05","30.123,91","30.343,59","29.849,15","2,28B","0,44%"
"06.12.2020","30.046,37","30.233,03","30.319,70","29.820,84","1,79B","-0,57%"
"29.11.2020","30.218,26","29.854,51","30.218,26","29.463,64","2,16B","1,03%"
"22.11.2020","29.910,37","29.332,82","30.116,51","29.332,82","1,33B","2,21%"
"15.11.2020","29.263,48","29.672,36","29.964,29","29.228,38","1,82B","-0,73%"
"08.11.2020","29.479,81","29.467,90","29.933,83","28.902,13","2,31B","4,08%"
"01.11.2020","28.323,40","26.691,28","28.495,05","26.691,28","1,91B","6,87%"
"25.10.2020","26.501,60","28.185,82","28.185,82","26.143,77","2,22B","-6,47%"
"18.10.2020","28.335,57","28.633,55","28.711,93","28.040,18","1,70B","-0,95%"
"11.10.2020","28.606,31","28.671,12","28.957,90","28.181,54","2,08B","0,07%"
"04.10.2020","28.586,90","27.825,42","28.676,29","27.728,03","1,73B","3,27%"
"27.09.2020","27.682,81","27.362,14","28.041,46","27.338,09","1,94B","1,87%"
"20.09.2020","27.173,96","27.484,71","27.484,71","26.537,01","2,25B","-1,75%"
"13.09.2020","27.657,42","27.718,74","28.364,77","27.487,97","2,36B","-0,03%"
"06.09.2020","27.665,64","27.925,23","28.206,21","27.447,08","1,94B","-1,66%"
"30.08.2020","28.133,31","28.643,66","29.199,35","27.664,68","2,85B","-1,82%"
"23.08.2020","28.653,87","28.077,58","28.733,35","28.041,75","1,83B","2,59%"
"16.08.2020","27.930,33","27.970,05","27.999,81","27.526,25","1,56B","0,00%"
"09.08.2020","27.931,02","27.488,21","28.154,88","27.488,21","1,78B","1,81%"
"02.08.2020","27.433,48","26.542,32","27.456,24","26.534,38","1,81B","3,80%"
"26.07.2020","26.428,32","26.447,67","26.625,46","25.992,28","1,96B","-0,16%"
"19.07.2020","26.469,89","26.660,29","27.035,24","26.402,86","2,01B","-0,76%"
"12.07.2020","26.671,95","26.225,07","27.071,33","25.994,98","1,81B","2,29%"
"05.07.2020","26.075,30","25.996,08","26.297,53","25.523,51","1,76B","0,96%"
"28.06.2020","25.827,36","25.152,45","26.204,41","25.096,16","1,52B","3,25%"
"21.06.2020","25.015,55","25.865,08","26.314,97","24.971,03","2,26B","-3,31%"
"14.06.2020","25.871,46","25.270,39","26.611,03","24.843,18","2,30B","1,04%"
"07.06.2020","25.605,54","27.232,93","27.580,21","25.078,41","2,44B","-5,55%"
"31.05.2020","27.110,98","25.342,99","27.338,30","25.220,66","2,02B","6,81%"
"24.05.2020","25.383,11","24.781,84","25.758,79","24.781,84","1,77B","3,75%"
"17.05.2020","24.465,16","24.059,98","24.718,46","24.059,98","1,84B","3,29%"
"10.05.2020","23.685,42","24.256,45","24.382,09","22.789,62","2,16B","-2,65%"
"03.05.2020","24.331,32","23.581,55","24.349,90","23.361,16","1,82B","2,56%"
"26.04.2020","23.723,69","23.866,15","24.764,77","23.645,30","2,17B","-0,22%"
"19.04.2020","23.775,27","24.095,10","24.108,69","22.941,88","2,04B","-1,93%"
"12.04.2020","24.242,49","23.698,93","24.264,21","23.095,35","2,34B","2,21%"
"05.04.2020","23.719,37","21.693,63","24.008,99","21.693,63","2,25B","12,67%"
"29.03.2020","21.052,53","21.678,22","22.480,37","20.735,02","2,62B","-2,70%"
"22.03.2020","21.636,78","19.028,36","22.595,06","18.213,65","3,72B","12,84%"
"15.03.2020","19.173,98","20.917,53","21.768,28","18.917,46","4,11B","-17,30%"
"08.03.2020","23.185,62","24.992,36","25.020,99","21.154,46","3,82B","-10,36%"
