Fecha,Último,Apertura,Máximo,Mínimo,Vol,% var
1032023,8944.3,9422.02,9528.12,8502.57,153.71M,-4.79%
1022023,9394.6,9047.3,9442.8,9046.2,3.65B,3.99%
1012023,9034,8297.9,9082.8,8283.7,3.96B,9.78%
1122022,8229.1,8426.2,8469,8059.5,3.16B,-1.60%
1112022,8363.2,8017.8,8426.03,7798.12,3.13B,5.11%
1102022,7956.5,7327.5,7958.1,7189.6,3.43B,8.00%
1092022,7366.8,7838.8,8235.8,7242.2,3.93B,-6.59%
1082022,7886.1,8161.9,8540,7866.6,2.89B,-3.31%
1072022,8156.2,8043,8240.4,7764.9,3.98B,0.71%
1062022,8098.7,8881.3,8909.3,7994.2,3.87B,-8.50%
1052022,8851.5,8516.6,8992.7,8134.5,4.21B,3.11%
1042022,8584.2,8481.7,8877.7,8344.9,3.82B,1.65%
1032022,8445.1,8462.1,8621,7287.7,6.31B,-0.40%
1022022,8479.2,8679.9,8912.2,8048,5.22B,-1.55%
1012022,8612.8,8729.7,8866.6,8361.4,3.89B,-1.16%
1122021,8713.8,8357.1,8728,8082.4,3.34B,4.92%
1112021,8305.1,9064.6,9198.1,8260.7,4.21B,-8.31%
1102021,9057.7,8693.4,9057.7,8654.8,3.50B,2.97%
1092021,8796.3,8923.7,9055.5,8551.2,3.92B,-0.57%
1082021,8846.6,8723.3,9015.7,8723.3,2.49B,1.97%
1072021,8675.7,8862.3,8968.1,8252.2,3.23B,-1.65%
1062021,8821.2,9167.3,9310.8,8765.3,3.47B,-3.58%
1052021,9148.9,8821.6,9254.7,8796.3,3.82B,3.79%
1042021,8815,8595.6,8869.9,8426.2,3.44B,2.74%
1032021,8580,8324.6,8740.1,8239.7,4.96B,4.32%
1022021,8225,7823,8387,7779.8,4.22B,6.03%
1012021,7757.5,8191.8,8439.7,7713.5,4.07B,-3.92%
1122020,8073.7,8112.7,8322.9,7663.5,4.87B,-0.04%
1112020,8076.9,6481.4,8199.9,6396.3,7.63B,25.18%
1102020,6452.2,6789.1,7024.6,6329.5,4.96B,-3.94%
1092020,6716.6,7038.5,7159.6,6552.3,6.28B,-3.63%
