"","Ultimo"
"1",9285
"2",9464.2
"3",9201.5
"4",9333
"5",9117.4
"6",9225.6
"7",9060.2
"8",8918.2
"9",8881.7
"10",8701.1
"11",8229.1
"12",8269.1
"13",8112.5
"14",8289.2
"15",8382.6
"16",8416.6
"17",8127.8
"18",8098.1
"19",7942.7
"20",7916.5
"21",7545.6
"22",7382.5
"23",7436.9
"24",7366.8
"25",7583.5
"26",7984.7
"27",8033.1
"28",7932.2
"29",8063.9
"30",8338.1
"31",8400.4
"32",8168
"33",8156.2
"34",8051.6
"35",7945.9
"36",8100.3
"37",8176.1
"38",8244.1
"39",8145.9
"40",8390.6
"41",8724.8
"42",8933.6
"43",8484.5
"44",8338.1
"45",8322
"46",8584.2
"47",8652.3
"48",8699
"49",8606.4
"50",8503.7
"51",8330.6
"52",8417.6
"53",8142.1
"54",7720.9
"55",8486.6
"56",8590
"57",8798.1
"58",8589.3
"59",8609.8
"60",8694.7
"61",8806.6
"62",8751.8
"63",8713.8
"64",8563.7
"65",8311.6
"66",8360.2
"67",8241.7
"68",8402.7
"69",8753.2
"70",9080.8
"71",9130.6
"72",9057.7
"73",8906.4
"74",8997
"75",8955
"76",8799.5
"77",8873.1
"78",8760.9
"79",8695.3
"80",8864
"81",8922.2
"82",8915.3
"83",8999.8
"84",8879
"85",8675.7
"86",8717.2
"87",8506.2
"88",8776.6
"89",8907.6
"90",9095
"91",9030.6
"92",9205
"93",9088.3
"94",9224.6
"95",9204
"96",9145.6
"97",9059.2
"98",8815
"99",8618.6
"100",8613.5
"101",8565.8
"102",8577.6
"103",8498.2
"104",8493
"105",8644.5
"106",8286.8
"107",8225
"108",8151.6
"109",8055
"110",8214.7
"111",7757.5
"112",8036.4
"113",8230.7
"114",8407.7
"115",8073.7
"116",8111.5
"117",8037.4
"118",8063.1
"119",8322.9
"120",8190.7
"121",7977.9
"122",7783.7
"123",6870.4
"124",6452.2
"125",6893.4
"126",6849.7
"127",6950.9
"128",6754.5
"129",6628.3
"130",6929.8
"131",6943.2
"132",6989.7
"133",7133
"134",6982.1
"135",7154.3
"136",6950.5
"137",6877.4
"138",7294.7
"139",7440.4
"140",7321.1
"141",7403.5
"142",7178.4
"143",7414.2
"144",7292.7
"145",7872.6
"146",7096.5
"147",6697.5
"148",6474.9
"149",6783.1
"150",6922.3
"151",6613.9
"152",6875.8
"153",7070.6
"154",6581.6
"155",6777.9
"156",6443.3
"157",6629.6
"158",8375.6
"159",8723.2
"160",9886.2
"161",9956.8
"162",9811
"163",9367.9
"164",9562
"165",9681.3
"166",9573.6
"167",9646.6
"168",9700.5
"169",9675.5
"170",9563.7
"171",9382.7
"172",9352
"173",9254.7
"174",9261.4
"175",9393.7
"176",9328
"177",9430.2
"178",9329.8
"179",9273.8
"180",8961.8
"181",9184.1
"182",9179
"183",9137.9
"184",8990.1
"185",8812.9
"186",8649.5
"187",8670.4
"188",8757.8
"189",8897.6
"190",9225.5
"191",9170.5
"192",9293.2
"193",9335
"194",9198.8
"195",9227.2
"196",9194.2
"197",9236.1
"198",9004.2
"199",9174.6
"200",9280.1
"201",9117.5
"202",9409.6
"203",9506
"204",9581.9
"205",9468.5
"206",9510.3
"207",9240.3
"208",9199.4
"209",9342.2
