"id";"Fecha";"Último";"Apertura";"Máximo";"Mínimo";"Vol.";"X..var."
"1";"01.03.2023";3811;3.87;3.9925;3662;"7.21M";"-0.99%"
"2";"01.02.2023";3849;3.48;3957;3417;"311.34M";"10.38%"
"3";"01.01.2023";3487;3405;3665;3394;"314.73M";"3.01%"
"4";"01.12.2022";3385;3.61;3653;3218;"708.25M";"-5.58%"
"5";"01.11.2022";3585;3509;3.68;3435;"383.15M";"2.87%"
"6";"01.10.2022";3485;3367;3517;3.24;"246.47M";"3.23%"
"7";"01.09.2022";3376;4.1;4184;3331;"355.23M";"-17.98%"
"8";"01.08.2022";4116;4355;4411;4087;"257.69M";"-5.53%"
"9";"01.07.2022";4357;4839;4957;4325;"308.77M";"-10.39%"
"10";"01.06.2022";4862;4898;4898;4367;"480.53M";"-1.61%"
"11";"01.05.2022";49413;4.4921;4.9452;4453;"474.47M";"9.22%"
"12";"01.04.2022";45243;4.2773;4.8827;4.2646;"316.83M";"5.57%"
"13";"01.03.2022";42856;4.1698;4.3285;3.6406;"459.96M";"2.63%"
"14";"01.02.2022";41757;4.06;4.3417;3.9765;"380.89M";"3.57%"
"15";"01.01.2022";40317;3749;4.1327;3.7197;"384.76M";"7.18%"
"16";"01.12.2021";37616;3.7597;3.8647;3.5668;"530.93M";"-1.21%"
"17";"01.11.2021";38075;3.5832;4.0395;3.4426;"647.54M";"6.16%"
"18";"01.10.2021";35865;3.8466;3.8899;3.5379;"373.75M";"-6.98%"
"19";"01.09.2021";38557;4.0086;4.0662;3.8166;"290.62M";"-3.22%"
"20";"01.08.2021";39838;3.6965;4.1176;3.6875;"263.50M";"8.16%"
"21";"01.07.2021";36832;3748;3.7966;3.4245;"257.39M";"-1.90%"
"22";"01.06.2021";37547;3.7251;3.9524;3.6222;"421.47M";"1.54%"
"23";"01.05.2021";36978;3.5442;3.8707;3.5023;"482.57M";"4.32%"
"24";"01.04.2021";35446;3.5092;3.5952;3.3574;"359.82M";"0.96%"
"25";"01.03.2021";35111;3.2829;3.8063;3.2664;"455.96M";"8.25%"
"26";"01.02.2021";32434;3.2912;3.5755;3236;"341.20M";"-0.79%"
"27";"01.01.2021";32691;3.0419;3.6794;2.9794;"405.05M";"9.52%"
"28";"01.12.2020";29849;3301;3.5006;2.8727;"573.66M";"-7.97%"
"29";"01.11.2020";32434;2.4948;3.3507;2.4407;"571.95M";"30.33%"
"30";"01.10.2020";24886;2.6429;2.9401;2.4044;"474.12M";"-4.46%"
"31";"01.09.2020";26048;2.9711;3003;2.5294;"772.38M";"-11.30%"
"32";"01.08.2020";29365;3.1485;3.3329;2.9276;"403.13M";"-6.68%"
"33";"01.07.2020";31467;3.7365;3.85;3.1467;"490.98M";"-16.46%"
"34";"01.06.2020";37666;3.7576;4.3314;3.6762;"788.27M";"2.77%"
"35";"01.05.2020";36651;3.6729;3863;3.2503;"647.46M";"1.46%"
"36";"01.04.2020";36124;3.5173;3.8976;3.3462;"379.04M";"0.16%"
"37";"01.03.2020";36068;4.7358;4741;3.0532;"878.40M";"-22.14%"
"38";"01.02.2020";46321;5.3149;5.6778;4.5673;"500.19M";"-12.26%"
"39";"01.01.2020";52794;5.4272;5.5223;5.1679;"456.88M";"-1.89%"
"40";"01.12.2019";53814;6.0494;6.0581;5.3581;"1.46B";"-10.43%"
"41";"01.11.2019";6008;5.9639;6.1255;5.7271;"365.57M";"1.12%"
"42";"01.10.2019";59414;6.0581;6.2741;5.7764;"424.48M";"-1.80%"
"43";"01.09.2019";60503;5.4454;6.0788;5.4454;"445.27M";"11.11%"
"44";"01.08.2019";54454;5.9198;6.0175;5.0651;"440.93M";"-8.96%"
"45";"01.07.2019";59812;6.2914;6466;5.9457;"347.57M";"-4.15%"
"46";"01.06.2019";62404;6.1644;6561;6.1315;"1.25B";"0.60%"
"47";"01.05.2019";62033;6.3778;6.4401;6.0278;"341.88M";"-3.42%"
"48";"01.04.2019";64228;6.4625;6.6112;6.3096;"279.99M";"-0.50%"
"49";"01.03.2019";64548;6.5697;6.8272;6.3346;"331.42M";"-1.58%"
"50";"01.02.2019";65585;6.4919;6.7736;6.2534;"308.39M";"1.25%"
"51";"01.01.2019";64772;6.3078;6.7391;6.2456;"365.92M";"2.13%"
"52";"01.12.2018";63424;6.9525;6.9646;6.2413;"1.37B";"-7.43%"
"53";"01.11.2018";68514;6.2707;6.8635;6.2551;"563.25M";"9.53%"
"54";"01.10.2018";62551;5.9008;6.3294;5.8256;"485.56M";"6.16%"
"55";"01.09.2018";58922;6.0451;6.0814;5.6968;"459.45M";"-2.42%"
"56";"01.08.2018";60382;6.6285;6.6786;6.0149;"305.90M";"-9.15%"
"57";"01.07.2018";66466;6.2499;6.7339;6.1877;"364.97M";"5.66%"
"58";"01.06.2018";62906;6.5749;6.7728;6.2499;"1.55B";"-3.55%"
"59";"01.05.2018";65222;7.2706;7.2974;6.4418;"505.78M";"-10.51%"
"60";"01.04.2018";72878;6.8869;7325;6.7762;"309.80M";"5.04%"
"61";"01.03.2018";69378;6.8644;7.1038;6.6734;"501.39M";"0.44%"
"62";"01.02.2018";69076;7.1815;7.1988;6.4392;"539.26M";"-3.15%"
"63";"01.01.2018";71323;7.0623;7.4313;7026;"463.63M";"1.58%"
"64";"01.12.2017";70217;7.4736;7.5108;7.0001;"1.33B";"-5.58%"
"65";"01.11.2017";74365;7847;7.8841;7.2783;"446.38M";"-4.45%"
"66";"01.10.2017";7783;7.8686;8.0043;7.4322;"598.39M";"-2.02%"
"67";"01.09.2017";79438;7.8288;8.0069;7.6318;"551.94M";"1.47%"
"68";"01.08.2017";78288;8.4295;8.5185;7.6275;"337.26M";"-5.24%"
"69";"01.07.2017";82618;7879;8.5288;7.7139;"400.49M";"5.78%"
"70";"01.06.2017";78107;8598;8.8019;7.7865;"1.68B";"-8.84%"
"71";"01.05.2017";85677;8.8063;9.1174;8.2013;"568.97M";"-2.37%"
"72";"01.04.2017";8776;9.0742;9.1347;8.7414;"394.26M";"-3.15%"
"73";"01.03.2017";90612;8426;9.1865;8.3975;"551.50M";"8.66%"
"74";"01.02.2017";83387;7.7969;8.3914;7.6059;"424.31M";"8.11%"
"75";"01.01.2017";7713;7.5644;8.0017;7.5506;"420.64M";"1.19%"
"76";"01.12.2016";76223;6.7581;7726;6.5766;"582.28M";"12.33%"
"77";"01.11.2016";67857;7.8602;7.8854;6.7322;"599.77M";"-12.83%"
"78";"01.10.2016";77845;7.5584;7.8442;7.2339;"420.41M";"2.72%"
"79";"01.09.2016";75786;7.6803;8.2377;7.5172;"468.61M";"-0.17%"
"80";"01.08.2016";75912;7.4231;7.6669;7.0212;"288.96M";"2.99%"
"81";"01.07.2016";73709;7.1902;7.74;6.7472;"463.62M";"3.64%"
"82";"01.06.2016";7112;7.8955;7914;6.2638;"681.47M";"-9.91%"
"83";"01.05.2016";78947;8.1275;8.1486;7.5828;"1.11B";"-1.38%"
"84";"01.04.2016";80048;8.1721;8.4361;7.5651;"693.18M";"-3.35%"
"85";"01.03.2016";82822;7.74;8.6967;7.6929;"793.79M";"6.58%"
"86";"01.02.2016";77711;8.1544;8.1755;7.1314;"640.87M";"-4.48%"
"87";"01.01.2016";81359;8.4571;8.5159;7.3499;"783.49M";"-5.44%"
"88";"01.12.2015";86042;9.8358;9.9408;8.3814;"785.95M";"-12.33%"
"89";"01.11.2015";98147;9.8015;10.3317;9.5037;"1.18B";"-0.74%"
"90";"01.10.2015";98878;8996;9.9988;8.5275;"687.06M";"11.08%"
"91";"01.09.2015";89015;10.2084;10.2495;8.6508;"896.67M";"-13.98%"
"92";"01.08.2015";103481;11466;11.7577;9.7851;"572.98M";"-9.68%"
"93";"01.07.2015";114577;10.5495;11.6057;10.0276;"651.72M";"9.33%"
"94";"01.06.2015";104796;10.6235;11.1618;10.2289;"877.85M";"-1.01%"
"95";"01.05.2015";105865;11.1742;11.4701;10.5495;"1.78B";"-5.57%"
"96";"01.04.2015";112112;10907;11466;10.5659;"1.01B";"2.87%"
"97";"01.03.2015";108988;11.3361;11.3767;10.5316;"743.76M";"-3.48%"
"98";"01.02.2015";112914;10.6697;11328;10.4016;"599.31M";"4.43%"
"99";"01.01.2015";108119;9.7515;10.9054;9142;"746.16M";"11.62%"
"100";"01.12.2014";96865;10.4259;10.9135;9.4264;"857.44M";"-7.45%"
"101";"01.11.2014";104666;9.4934;10.4747;9.2869;"1.51B";"9.88%"
"102";"01.10.2014";95252;9.7078;9.7753;8.5445;"796.25M";"-2.12%"
"103";"01.09.2014";97316;9.6086;9.9024;9.4021;"853.18M";"1.53%"
"104";"01.08.2014";95847;9.7118;9.7118;9.1321;"382.31M";"-1.15%"
"105";"01.07.2014";96959;10.0056;10.1247;9.4894;"513.30M";"-2.48%"
"106";"01.06.2014";99421;9.7475;10.2716;9.5847;"764.64M";"1.71%"
"107";"01.05.2014";97753;9.6046;9.8309;9.1559;"1.54B";"1.99%"
"108";"01.04.2014";95847;9.1162;9.68;9013;"1.60B";"5.09%"
"109";"01.03.2014";91202;8.7231;9.2075;8604;"820.98M";"3.38%"
"110";"01.02.2014";88224;9.0765;9.1678;8735;"487.64M";"-2.88%"
"111";"01.01.2014";90844;9.41;10.0056;8.9217;"652.01M";"-3.34%"
"112";"01.12.2013";93981;9.6244;9.6363;8.9018;"959.05M";"-2.27%"
"113";"01.11.2013";96165;10224;10.3153;9.4934;"1.78B";"-6.74%"
"114";"01.10.2013";103113;9.1321;10.4304;9.1321;"2.12B";"12.81%"
"115";"01.09.2013";914;8.2387;9.2274;8.2109;"670.73M";"12.02%"
"116";"01.08.2013";81593;8.5326;8.7271;8.1514;"541.28M";"-4.11%"
"117";"01.07.2013";85087;7.9116;8.5286;7.5939;"621.35M";"8.84%"
"118";"01.06.2013";78179;8.3658;8.4373;7.5995;"794.95M";"-7.12%"
"119";"01.05.2013";84174;8.8224;9.0924;8.4174;"687.39M";"-4.85%"
"120";"01.04.2013";88462;8.3102;8.9336;8.1236;"767.91M";"6.20%"
"121";"01.03.2013";83301;8.0204;9.2314;7.9687;"1.01B";"4.90%"
"122";"01.02.2013";79409;8.3777;8.4174;7.5169;"753.25M";"-6.37%"
"123";"01.01.2013";84809;8.1792;8.8145;8.1514;"713.64M";"4.81%"
"124";"01.12.2012";80918;8.0482;8.2546;7.7647;"1.05B";"0.99%"
"125";"01.11.2012";80124;8.0283;8.2943;7.7623;"581.54M";"-0.69%"
"126";"01.10.2012";8068;8.1395;8.6755;7.9251;"555.22M";"-1.49%"
"127";"01.09.2012";81899;7.9017;9.2989;7.8781;"746.21M";"3.34%"
"128";"01.08.2012";79254;7.2671;8.6161;6.8092;"530.13M";"8.81%"
"129";"01.07.2012";72836;8.1346;8.3438;6.2361;"756.06M";"-11.02%"
"130";"01.06.2012";81859;7.1045;8.1859;7.0042;"1.27B";"16.03%"
"131";"01.05.2012";70547;8.6328;8.9514;6.9576;"3.33B";"-20.83%"
"132";"01.04.2012";89105;9.9626;10.0476;8.6556;"943.18M";"-10.38%"
"133";"01.03.2012";99424;10.3592;10.6546;9.8169;"952.83M";"-4.10%"
"134";"01.02.2012";103673;10.8043;10.9945;10.2904;"823.30M";"-3.90%"
"135";"01.01.2012";107881;10.8083;11128;10.5251;"727.06M";"-0.41%"
"136";"01.12.2011";108326;11.2818;11.5327;10.3106;"1.18B";"-4.26%"
"137";"01.11.2011";113142;12.2853;12.4148;10.1973;"2.47B";"-9.10%"
"138";"01.10.2011";124472;11.4396;12.9166;11.0916;"1.96B";"6.62%"
"139";"01.09.2011";116743;11.7552;11.8766;10.1164;"1.23B";"-0.59%"
"140";"01.08.2011";117431;12779;12779;10.5251;"1.13B";"-6.69%"
"141";"01.07.2011";125848;13645;13.7987;12.1963;"967.61M";"-7.77%"
"142";"01.06.2011";13645;13.6531;13738;12.8316;"1.03B";"-0.09%"
"143";"01.05.2011";136571;14.7699;14.8387;13.3293;"2.00B";"-14.62%"
"144";"01.04.2011";159965;15.6881;16.1199;15.2782;"1.32B";"2.75%"
"145";"01.03.2011";155691;16.3006;16.3711;14.8948;"1.16B";"-3.99%"
"146";"01.02.2011";162169;16.2786;16.5254;15.6176;"714.21M";"0.30%"
"147";"01.01.2011";161684;14.9962;16.4196;14.5247;"878.85M";"8.13%"
"148";"01.12.2010";149521;14.4982;15.4237;14.4806;"1.09B";"3.51%"
"149";"01.11.2010";144454;17226;17.3538;14.4233;"3.35B";"-15.52%"
"150";"01.10.2010";170982;15.9701;17.3009;15.8731;"1.95B";"6.80%"
"151";"01.09.2010";160098;15.4501;16.3931;15.3796;"951.98M";"3.80%"
"152";"01.08.2010";154237;15.3752;15.7938;14.7494;"526.18M";"-6.20%"
"153";"01.07.2010";16444;14169;16756;14108;"573.54M";"14.19%"
"154";"01.06.2010";144;14608;15708;13999;"657.66M";"-1.99%"
"155";"01.05.2010";14693;16189;16236;13848;"976.81M";"-8.57%"
"156";"01.04.2010";16071;16652;17166;15396;"669.11M";"-2.94%"
"157";"01.03.2010";16557;16392;17105;16246;"485.52M";"1.71%"
"158";"01.02.2010";16279;16284;16652;15368;"636.91M";"-0.69%"
"159";"01.01.2010";16392;18521;18738;16232;"660.47M";"-11.04%"
"160";"01.12.2009";18427;18143;18714;17902;"447.59M";"2.09%"
"161";"01.11.2009";18049;17917;18615;17681;"541.34M";"0.47%"
"162";"01.10.2009";17964;17.7;18.62;17341;"674.66M";"0.93%"
"163";"01.09.2009";17799;16671;18082;16095;"488.47M";"7.19%"
"164";"01.08.2009";16605;16.52;16.85;15533;"375.19M";"0.78%"
