"id","Survived","Clase","Sexo","Edad","Parientes","Precio"
"1","No",3,"male",22,1,130.982998141264
"2","Si",1,"female",38,1,712.833
"3","Si",3,"female",26,0,7.925
"4","Si",1,"female",35,1,130.982998141264
"5","No",3,"male",35,0,130.982998141264
"6","No",3,"male",29,0,84.583
"7","No",1,"male",54,0,518.625
"8","No",3,"male",2,4,21.075
"9","Si",3,"female",27,2,111.333
"10","Si",2,"female",14,1,300.708
"11","Si",3,"female",4,2,130.982998141264
"12","Si",1,"female",58,0,130.982998141264
"13","No",3,"male",20,0,130.982998141264
"14","No",3,"male",39,6,31.275
"15","No",3,"female",14,0,78.542
"16","Si",2,"female",55,0,16
"17","No",3,"male",2,5,29.125
"18","Si",2,"male",29,0,13
"19","No",3,"female",31,1,18
"20","Si",3,"female",29,0,7.225
"21","No",2,"male",35,0,26
"22","Si",2,"male",34,0,13
"23","Si",3,"female",15,0,80.292
"24","Si",1,"male",28,0,130.982998141264
"25","No",3,"female",8,4,21.075
"26","Si",3,"female",38,6,313.875
"27","No",3,"male",29,0,7.225
"28","No",1,"male",19,5,263
"29","Si",3,"female",29,0,78.792
"30","No",3,"male",29,0,78.958
"31","No",1,"male",40,0,277.208
"32","Si",1,"female",29,1,130.982998141264
"33","Si",3,"female",29,0,130.982998141264
"34","No",2,"male",66,0,130.982998141264
"35","No",1,"male",28,1,821.708
"36","No",1,"male",42,1,52
"37","Si",3,"male",29,0,72.292
"38","No",3,"male",21,0,130.982998141264
"39","No",3,"female",18,2,18
"40","Si",3,"female",14,1,112.417
"41","No",3,"female",40,1,9.475
"42","No",2,"female",27,1,21
"43","No",3,"male",29,0,78.958
"44","Si",2,"female",3,3,415.792
"45","Si",3,"female",19,0,78.792
"46","No",3,"male",29,0,130.982998141264
"47","No",3,"male",29,1,130.982998141264
"48","Si",3,"female",29,0,130.982998141264
"49","No",3,"male",29,2,216.792
"50","No",3,"female",18,1,130.982998141264
"51","No",3,"male",7,5,396.875
"52","No",3,"male",21,0,130.982998141264
"53","Si",1,"female",49,1,767.292
"54","Si",2,"female",29,1,26
"55","No",1,"male",65,1,619.792
"56","Si",1,"male",29,0,130.982998141264
"57","Si",2,"female",21,0,130.982998141264
"58","No",3,"male",29,0,72.292
"59","Si",2,"female",5,3,130.982998141264
"60","No",3,"male",11,7,130.982998141264
"61","No",3,"male",22,0,72.292
"62","Si",1,"female",38,0,80
"63","No",1,"male",45,1,83.475
"64","No",3,"male",4,5,130.982998141264
"65","No",1,"male",29,0,277.208
"66","Si",3,"male",29,2,152.458
"67","Si",2,"female",29,0,130.982998141264
"68","No",3,"male",19,0,81.583
"69","Si",3,"female",17,6,7.925
"70","No",3,"male",26,2,86.625
"71","No",2,"male",32,0,130.982998141264
"72","No",3,"female",16,7,130.982998141264
"73","No",2,"male",21,0,130.982998141264
"74","No",3,"male",26,1,144.542
"75","Si",3,"male",32,0,564.958
"76","No",3,"male",25,0,130.982998141264
"77","No",3,"male",29,0,78.958
"78","No",3,"male",29,0,130.982998141264
"79","Si",2,"male",29,2,29
"80","Si",3,"female",30,0,12.475
"81","No",3,"male",22,0,9
"82","Si",3,"male",29,0,130.982998141264
"83","Si",3,"female",29,0,77.875
"84","No",1,"male",28,0,130.982998141264
"85","Si",2,"female",17,0,130.982998141264
"86","Si",3,"female",33,3,130.982998141264
"87","No",3,"male",16,4,34.375
"88","No",3,"male",29,0,130.982998141264
"89","Si",1,"female",23,5,263
"90","No",3,"male",24,0,130.982998141264
"91","No",3,"male",29,0,130.982998141264
"92","No",3,"male",20,0,78.542
"93","No",1,"male",46,1,61.175
"94","No",3,"male",26,3,20.575
"95","No",3,"male",59,0,130.982998141264
"96","No",3,"male",29,0,130.982998141264
"97","No",1,"male",71,0,346.542
"98","Si",1,"male",23,1,633.583
"99","Si",2,"female",34,1,23
"100","No",2,"male",34,1,26
"101","No",3,"female",28,0,78.958
"102","No",3,"male",29,0,78.958
"103","No",1,"male",21,1,772.875
"104","No",3,"male",33,0,86.542
"105","No",3,"male",37,2,7.925
"106","No",3,"male",28,0,78.958
"107","Si",3,"female",21,0,130.982998141264
"108","Si",3,"male",29,0,7.775
"109","No",3,"male",38,0,78.958
"110","Si",3,"female",29,1,130.982998141264
"111","No",1,"male",47,0,52
"112","No",3,"female",29,1,144.542
"113","No",3,"male",22,0,130.982998141264
"114","No",3,"female",20,1,9.825
"115","No",3,"female",17,0,144.583
"116","No",3,"male",21,0,7.925
"117","No",3,"male",29,0,130.982998141264
"118","No",2,"male",29,1,21
"119","No",1,"male",24,1,130.982998141264
"120","No",3,"female",2,6,31.275
"121","No",2,"male",21,2,130.982998141264
"122","No",3,"male",29,0,130.982998141264
"123","No",2,"male",29,1,300.708
"124","Si",2,"female",29,0,13
"125","No",1,"male",54,1,772.875
"126","Si",3,"male",12,1,112.417
"127","No",3,"male",29,0,130.982998141264
"128","Si",3,"male",24,0,71.417
"129","Si",3,"female",29,2,223.583
"130","No",3,"male",45,0,6.975
"131","No",3,"male",33,0,78.958
"132","No",3,"male",20,0,130.982998141264
"133","No",3,"female",47,1,130.982998141264
"134","Si",2,"female",29,1,26
"135","No",2,"male",25,0,13
"136","No",2,"male",23,0,150.458
"137","Si",1,"female",19,2,262.833
"138","No",1,"male",37,1,130.982998141264
"139","No",3,"male",16,0,92.167
"140","No",1,"male",24,0,130.982998141264
"141","No",3,"female",29,2,152.458
"142","Si",3,"female",22,0,130.982998141264
"143","Si",3,"female",24,1,130.982998141264
"144","No",3,"male",19,0,130.982998141264
"145","No",2,"male",18,0,130.982998141264
"146","No",2,"male",19,2,130.982998141264
"147","Si",3,"male",27,0,77.958
"148","No",3,"female",9,4,34.375
"149","No",2,"male",29,2,26
"150","No",2,"male",42,0,13
"151","No",2,"male",51,0,12.525
"152","Si",1,"female",22,1,130.982998141264
"153","No",3,"male",29,0,130.982998141264
"154","No",3,"male",29,2,130.982998141264
"155","No",3,"male",29,0,73.125
"156","No",1,"male",51,1,613.792
"157","Si",3,"female",16,0,77.333
"158","No",3,"male",30,0,130.982998141264
"159","No",3,"male",29,0,86.625
"160","No",3,"male",29,10,130.982998141264
"161","No",3,"male",44,1,130.982998141264
"162","Si",2,"female",40,0,130.982998141264
"163","No",3,"male",26,0,7.775
"164","No",3,"male",17,0,86.625
"165","No",3,"male",1,5,396.875
"166","Si",3,"male",9,2,20.525
"167","Si",1,"female",29,1,55
"168","No",3,"female",45,5,130.982998141264
"169","No",1,"male",29,0,25.925
"170","No",3,"male",28,0,564.958
"171","No",1,"male",61,0,130.982998141264
"172","No",3,"male",4,5,29.125
"173","Si",3,"female",1,2,111.333
"174","No",3,"male",21,0,7.925
"175","No",1,"male",56,0,306.958
"176","No",3,"male",18,2,78.542
"177","No",3,"male",29,4,254.667
"178","No",1,"female",50,0,287.125
"179","No",2,"male",30,0,13
"180","No",3,"male",36,0,0
