"Clase","Sexo","Edad","Precio","Survived"
"1","P","female","A","A","Si"
"2","P","female","A","A","Si"
"3","S","female","J","B","Si"
"4","P","female","M","B","Si"
"5","S","female","M","B","Si"
"6","P","female","A","A","Si"
"7","S","female","A","B","No"
"8","S","female","N","A","Si"
"9","T","female","M","A","Si"
"10","S","female","A","B","Si"
"11","S","female","J","C","Si"
"12","S","female","N","B","Si"
"13","P","female","A","A","Si"
"14","S","female","A","C","Si"
"15","S","","J","C","Si"
"16","P","","J","A","Si"
"17","S","","A","B","Si"
"18","S","","A","C","Si"
"19","S","","A","B","Si"
"20","P","","J","B","Si"
"21","P","female","J","A","Si"
"22","S","female","A","B","Si"
"23","P","female","A","A","Si"
"24","P","female","M","B","No"
"25","S","female","A","C","Si"
"26","P","female","M","B","Si"
"27","P","female","M","A","Si"
"28","S","female","J","C","No"
"29","S","female","A","B","Si"
"30","P","female","A","A","Si"
"31","P","female","A","A","Si"
"32","P","female","A","A","Si"
"33","S","female","N","B","Si"
"34","S","female","J","C","Si"
"35","P","female","A","A","Si"
"36","P","female","A","A","Si"
"37","P","female","A","A","Si"
"38","S","female","M","B","Si"
"39","P","female","M","A","Si"
"40","P","female","A","A","Si"
"41","S","female","M","B","Si"
"42","P","female","M","A","Si"
"43","P","female","A","A","Si"
"44","P","female","J","A","Si"
"45","P","female","N","A","No"
"46","P","female","M","A","Si"
"47","S","female","A","C","Si"
"48","P","female","A","A","Si"
"49","P","female","J","A","Si"
"50","P","female","A","A","Si"
"51","P","female","J","A","Si"
"52","P","female","J","A","Si"
"53","S","female","A","B","No"
"54","S","female","J","B","Si"
"55","P","female","A","A","Si"
"56","P","female","A","A","Si"
"57","S","female","A","C","Si"
"58","S","female","J","B","Si"
"59","P","female","A","A","Si"
"60","S","female","A","C","Si"
"61","P","female","J","A","Si"
"62","P","female","A","A","Si"
"63","P","female","M","A","Si"
"64","P","female","J","A","Si"
"65","S","female","J","C","Si"
"66","S","female","A","C","Si"
"67","P","female","J","A","Si"
"68","S","female","A","C","No"
"69","P","female","M","A","Si"
"70","P","female","J","A","Si"
"71","P","female","A","A","Si"
"72","P","female","M","A","Si"
"73","P","female","A","A","Si"
"74","S","female","A","C","Si"
"75","S","female","J","C","Si"
"76","P","female","J","A","Si"
"77","S","female","A","C","Si"
"78","P","female","A","A","Si"
"79","S","female","A","B","Si"
"80","S","female","J","C","Si"
"81","S","female","A","B","Si"
"82","S","female","J","B","Si"
"83","S","female","M","B","Si"
"84","P","female","J","A","Si"
"85","S","female","J","B","Si"
"86","S","female","M","B","Si"
"87","S","female","A","C","Si"
"88","S","female","J","B","Si"
"89","P","female","A","A","Si"
"90","S","female","M","C","Si"
"91","S","female","A","B","Si"
"92","T","female","J","C","Si"
"93","P","female","A","A","Si"
"94","P","female","M","A","Si"
"95","S","female","J","A","No"
"96","P","female","J","A","Si"
"97","S","female","A","B","Si"
"98","P","female","M","A","Si"
"99","S","female","A","C","Si"
"100","S","female","A","B","Si"
"101","P","female","A","A","Si"
"102","P","female","M","A","Si"
"103","S","female","M","C","Si"
"104","S","female","N","B","Si"
"105","S","female","N","B","Si"
"106","P","female","A","A","Si"
"107","P","female","J","A","Si"
"108","P","female","A","A","Si"
"109","S","female","J","B","Si"
"110","P","female","M","B","Si"
"111","P","female","A","A","Si"
"112","P","female","M","A","Si"
"113","S","female","A","C","Si"
"114","P","female","A","A","Si"
"115","S","female","J","B","Si"
"116","P","female","A","A","Si"
"117","P","female","J","A","Si"
"118","P","female","M","A","Si"
"119","S","female","A","B","Si"
"120","S","female","J","B","Si"
"121","S","female","J","A","Si"
"122","P","female","A","A","Si"
"123","S","female","J","A","Si"
"124","S","female","N","B","Si"
"125","P","female","J","A","Si"
"126","S","female","A","C","Si"
"127","P","female","J","A","Si"
"128","S","female","J","B","Si"
"129","P","female","A","A","Si"
"130","S","female","A","B","Si"
"131","P","female","J","A","Si"
"132","P","female","J","A","Si"
"133","S","female","M","C","Si"
"134","P","female","J","A","Si"
"135","P","female","J","A","Si"
"136","P","female","A","A","Si"
"137","S","female","A","C","Si"
"138","S","female","N","B","Si"
"139","S","female","A","B","Si"
"140","P","female","A","A","Si"
"141","P","female","J","A","Si"
"142","S","female","A","C","Si"
"143","S","female","N","B","Si"
"144","S","female","M","A","Si"
"145","P","female","A","A","Si"
"146","P","female","A","A","Si"
"147","P","female","M","A","Si"
"148","S","female","M","C","No"
"149","S","female","M","B","Si"
"150","T","female","M","A","Si"
"151","P","female","J","A","Si"
"152","P","female","M","B","Si"
"153","S","female","A","B","Si"
"154","P","female","A","A","Si"
"155","P","female","M","A","Si"
"156","P","female","M","A","Si"
"157","P","female","A","A","Si"
"158","P","female","A","B","Si"
"159","P","female","A","A","Si"
"160","P","female","J","B","Si"
"161","S","female","M","B","No"
"162","P","female","M","A","Si"
"163","P","female","M","B","Si"
"164","S","female","M","C","Si"
"165","S","female","A","C","Si"
"166","P","female","M","A","Si"
"167","S","female","A","B","Si"
"168","P","female","M","A","Si"
"169","S","female","J","B","Si"
"170","P","female","J","B","Si"
"171","T","male","J","C","No"
"172","T","male","J","C","No"
"173","P","male","J","A","No"
"174","T","male","J","C","No"
"175","T","male","J","C","No"
"176","T","male","J","C","No"
"177","T","male","J","C","No"
"178","S","male","J","A","No"
"179","T","male","J","C","No"
"180","T","male","J","C","No"
"181","T","male","J","B","No"
"182","T","male","J","C","No"
"183","T","male","J","C","No"
"184","P","","J","A","Si"
"185","P","","J","A","No"
"186","T","","J","C","No"
"187","T","","J","C","No"
"188","P","","J","A","No"
"189","S","male","J","A","No"
"190","T","male","J","C","Si"
"191","T","male","J","C","No"
"192","S","male","J","C","No"
"193","S","male","J","B","No"
"194","T","male","J","C","No"
"195","P","male","J","A","No"
"196","T","male","J","C","No"
"197","S","male","J","C","No"
"198","S","male","J","B","No"
"199","T","male","J","C","No"
"200","T","male","J","C","No"
"201","T","male","J","C","No"
"202","S","male","J","C","No"
"203","T","male","J","C","Si"
"204","T","male","J","C","No"
"205","T","male","J","C","No"
"206","T","male","J","C","Si"
"207","T","male","J","C","No"
"208","S","male","J","C","Si"
"209","T","male","J","C","No"
"210","S","male","J","C","No"
"211","S","male","J","C","No"
"212","S","male","J","C","No"
"213","T","male","J","C","No"
"214","T","male","J","B","No"
"215","T","male","J","C","Si"
"216","T","male","J","C","Si"
"217","T","male","J","C","No"
"218","T","male","J","C","Si"
"219","T","male","J","C","No"
"220","T","male","J","C","No"
"221","T","male","J","C","No"
"222","T","male","J","C","No"
"223","T","male","J","C","No"
"224","T","male","J","B","No"
"225","S","male","J","C","No"
"226","T","male","J","C","No"
"227","T","male","J","C","No"
"228","T","male","J","B","No"
"229","P","male","J","A","Si"
"230","T","male","J","C","No"
"231","T","male","J","C","No"
"232","P","male","J","A","No"
"233","T","male","J","C","No"
"234","T","male","J","C","No"
"235","S","male","J","A","No"
"236","T","male","J","C","Si"
"237","T","male","J","C","No"
"238","S","male","J","C","No"
"239","T","male","J","C","No"
"240","T","male","J","C","No"
"241","T","male","J","B","No"
"242","T","male","J","C","No"
"243","T","male","J","C","No"
"244","T","male","J","C","No"
"245","T","male","J","C","No"
"246","P","male","J","A","Si"
"247","T","male","J","C","No"
"248","T","male","J","C","No"
"249","T","male","J","C","No"
"250","T","male","J","C","No"
"251","P","male","J","A","No"
"252","T","male","J","C","No"
"253","T","male","J","C","No"
"254","S","male","J","C","No"
"255","T","male","J","C","No"
"256","P","male","J","A","Si"
"257","T","male","J","C","Si"
"258","T","male","J","B","No"
"259","T","male","J","C","No"
"260","T","male","J","C","No"
"261","T","male","J","C","No"
"262","T","male","J","C","No"
"263","T","male","J","B","Si"
"264","T","male","J","C","No"
"265","T","male","J","B","No"
"266","T","male","J","C","No"
"267","T","male","J","C","No"
"268","T","male","J","C","No"
"269","S","male","J","A","No"
"270","S","male","J","C","No"
"271","T","male","J","C","Si"
"272","S","male","J","C","No"
"273","T","male","J","C","No"
"274","T","male","J","C","No"
"275","T","male","J","C","No"
"276","T","male","J","A","No"
"277","S","male","J","A","No"
"278","T","male","J","B","No"
"279","T","male","J","C","No"
"280","T","male","J","C","No"
"281","T","male","J","C","No"
"282","T","male","J","C","No"
"283","T","male","J","C","No"
"284","T","male","J","C","No"
"285","T","male","J","C","No"
"286","S","male","J","B","No"
"287","S","male","J","C","No"
"288","S","male","J","C","No"
"289","T","male","J","B","No"
"290","T","male","J","B","No"
"291","P","male","J","A","No"
"292","T","male","J","C","No"
"293","S","male","J","C","No"
"294","T","male","J","C","Si"
"295","T","male","J","C","No"
"296","T","male","J","C","No"
"297","T","male","J","C","No"
"298","T","male","J","C","No"
"299","T","male","J","C","No"
"300","S","male","J","B","No"
"301","T","male","J","C","No"
"302","T","male","J","C","No"
"303","T","male","J","C","No"
"304","T","male","J","C","No"
"305","T","male","J","C","No"
"306","S","male","J","C","No"
"307","T","male","J","C","No"
"308","S","male","J","C","No"
"309","S","male","J","C","No"
"310","T","male","J","C","No"
"311","T","male","J","C","No"
"312","T","male","J","C","No"
"313","S","male","N","B","Si"
"314","S","male","N","B","Si"
"315","S","male","N","B","Si"
"316","P","male","N","A","Si"
"317","S","male","N","B","Si"
"318","S","male","N","B","Si"
"319","P","male","N","A","Si"
"320","S","male","N","B","Si"
"321","S","male","N","C","Si"
"322","P","male","N","A","Si"
"323","S","male","N","B","Si"
"324","S","male","N","B","Si"
