id,Survived,Clase,Sexo,Edad,Parientes,Precio,Embarque
1,No,3,male,22,1,7.25,S
2,Si,1,female,38,1,71.2833,C
3,Si,3,female,26,0,7925,S
4,Si,1,female,35,1,53.1,S
5,No,3,male,35,0,8.05,S
6,No,3,male,29.6991176470588,0,8.4583,Q
7,No,1,male,54,0,51.8625,S
8,No,3,male,2,4,21075,S
9,Si,3,female,27,2,11.1333,S
10,Si,2,female,14,1,30.0708,C
11,Si,3,female,4,2,16.7,S
12,Si,1,female,58,0,26.55,S
13,No,3,male,20,0,8.05,S
14,No,3,male,39,6,31275,S
15,No,3,female,14,0,7.8542,S
16,Si,2,female,55,0,16,S
17,No,3,male,2,5,29125,Q
18,Si,2,male,29.6991176470588,0,13,S
19,No,3,female,31,1,18,S
20,Si,3,female,29.6991176470588,0,7225,C
21,No,2,male,35,0,26,S
22,Si,2,male,34,0,13,S
23,Si,3,female,15,0,8.0292,Q
24,Si,1,male,28,0,35.5,S
25,No,3,female,8,4,21075,S
26,Si,3,female,38,6,31.3875,S
27,No,3,male,29.6991176470588,0,7225,C
28,No,1,male,19,5,263,S
29,Si,3,female,29.6991176470588,0,7.8792,Q
30,No,3,male,29.6991176470588,0,7.8958,S
31,No,1,male,40,0,27.7208,C
32,Si,1,female,29.6991176470588,1,146.5208,C
33,Si,3,female,29.6991176470588,0,7.75,Q
34,No,2,male,66,0,10.5,S
35,No,1,male,28,1,82.1708,C
36,No,1,male,42,1,52,S
37,Si,3,male,29.6991176470588,0,7.2292,C
38,No,3,male,21,0,8.05,S
39,No,3,female,18,2,18,S
40,Si,3,female,14,1,11.2417,C
41,No,3,female,40,1,9475,S
42,No,2,female,27,1,21,S
43,No,3,male,29.6991176470588,0,7.8958,C
44,Si,2,female,3,3,41.5792,C
45,Si,3,female,19,0,7.8792,Q
46,No,3,male,29.6991176470588,0,8.05,S
47,No,3,male,29.6991176470588,1,15.5,Q
48,Si,3,female,29.6991176470588,0,7.75,Q
49,No,3,male,29.6991176470588,2,21.6792,C
50,No,3,female,18,1,17.8,S
51,No,3,male,7,5,39.6875,S
52,No,3,male,21,0,7.8,S
53,Si,1,female,49,1,76.7292,C
54,Si,2,female,29,1,26,S
55,No,1,male,65,1,61.9792,C
56,Si,1,male,29.6991176470588,0,35.5,S
57,Si,2,female,21,0,10.5,S
58,No,3,male,28.5,0,7.2292,C
59,Si,2,female,5,3,27.75,S
60,No,3,male,11,7,46.9,S
61,No,3,male,22,0,7.2292,C
62,Si,1,female,38,0,80,
63,No,1,male,45,1,83475,S
64,No,3,male,4,5,27.9,S
65,No,1,male,29.6991176470588,0,27.7208,C
66,Si,3,male,29.6991176470588,2,15.2458,C
67,Si,2,female,29,0,10.5,S
68,No,3,male,19,0,8.1583,S
69,Si,3,female,17,6,7925,S
70,No,3,male,26,2,8.6625,S
71,No,2,male,32,0,10.5,S
72,No,3,female,16,7,46.9,S
73,No,2,male,21,0,73.5,S
74,No,3,male,26,1,14.4542,C
75,Si,3,male,32,0,56.4958,S
76,No,3,male,25,0,7.65,S
77,No,3,male,29.6991176470588,0,7.8958,S
78,No,3,male,29.6991176470588,0,8.05,S
79,Si,2,male,0.83,2,29,S
80,Si,3,female,30,0,12475,S
81,No,3,male,22,0,9,S
82,Si,3,male,29,0,9.5,S
83,Si,3,female,29.6991176470588,0,7.7875,Q
84,No,1,male,28,0,47.1,S
85,Si,2,female,17,0,10.5,S
86,Si,3,female,33,3,15.85,S
87,No,3,male,16,4,34375,S
88,No,3,male,29.6991176470588,0,8.05,S
89,Si,1,female,23,5,263,S
90,No,3,male,24,0,8.05,S
91,No,3,male,29,0,8.05,S
92,No,3,male,20,0,7.8542,S
93,No,1,male,46,1,61175,S
94,No,3,male,26,3,20575,S
95,No,3,male,59,0,7.25,S
96,No,3,male,29.6991176470588,0,8.05,S
97,No,1,male,71,0,34.6542,C
98,Si,1,male,23,1,63.3583,C
99,Si,2,female,34,1,23,S
100,No,2,male,34,1,26,S
101,No,3,female,28,0,7.8958,S
102,No,3,male,29.6991176470588,0,7.8958,S
103,No,1,male,21,1,77.2875,S
104,No,3,male,33,0,8.6542,S
105,No,3,male,37,2,7925,S
106,No,3,male,28,0,7.8958,S
107,Si,3,female,21,0,7.65,S
108,Si,3,male,29.6991176470588,0,7775,S
109,No,3,male,38,0,7.8958,S
110,Si,3,female,29.6991176470588,1,24.15,Q
111,No,1,male,47,0,52,S
112,No,3,female,14.5,1,14.4542,C
113,No,3,male,22,0,8.05,S
114,No,3,female,20,1,9825,S
115,No,3,female,17,0,14.4583,C
116,No,3,male,21,0,7925,S
117,No,3,male,70.5,0,7.75,Q
118,No,2,male,29,1,21,S
119,No,1,male,24,1,247.5208,C
120,No,3,female,2,6,31275,S
121,No,2,male,21,2,73.5,S
122,No,3,male,29.6991176470588,0,8.05,S
123,No,2,male,32.5,1,30.0708,C
124,Si,2,female,32.5,0,13,S
125,No,1,male,54,1,77.2875,S
126,Si,3,male,12,1,11.2417,C
127,No,3,male,29.6991176470588,0,7.75,Q
128,Si,3,male,24,0,7.1417,S
129,Si,3,female,29.6991176470588,2,22.3583,C
130,No,3,male,45,0,6975,S
131,No,3,male,33,0,7.8958,C
132,No,3,male,20,0,7.05,S
133,No,3,female,47,1,14.5,S
134,Si,2,female,29,1,26,S
135,No,2,male,25,0,13,S
136,No,2,male,23,0,15.0458,C
137,Si,1,female,19,2,26.2833,S
138,No,1,male,37,1,53.1,S
139,No,3,male,16,0,9.2167,S
140,No,1,male,24,0,79.2,C
141,No,3,female,29.6991176470588,2,15.2458,C
142,Si,3,female,22,0,7.75,S
143,Si,3,female,24,1,15.85,S
144,No,3,male,19,0,6.75,Q
145,No,2,male,18,0,11.5,S
146,No,2,male,19,2,36.75,S
147,Si,3,male,27,0,7.7958,S
148,No,3,female,9,4,34375,S
149,No,2,male,36.5,2,26,S
150,No,2,male,42,0,13,S
151,No,2,male,51,0,12525,S
152,Si,1,female,22,1,66.6,S
153,No,3,male,55.5,0,8.05,S
154,No,3,male,40.5,2,14.5,S
155,No,3,male,29.6991176470588,0,7.3125,S
156,No,1,male,51,1,61.3792,C
157,Si,3,female,16,0,7.7333,Q
158,No,3,male,30,0,8.05,S
159,No,3,male,29.6991176470588,0,8.6625,S
160,No,3,male,29.6991176470588,10,69.55,S
161,No,3,male,44,1,16.1,S
162,Si,2,female,40,0,15.75,S
163,No,3,male,26,0,7775,S
164,No,3,male,17,0,8.6625,S
165,No,3,male,1,5,39.6875,S
166,Si,3,male,9,2,20525,S
167,Si,1,female,29.6991176470588,1,55,S
168,No,3,female,45,5,27.9,S
169,No,1,male,29.6991176470588,0,25925,S
170,No,3,male,28,0,56.4958,S
171,No,1,male,61,0,33.5,S
172,No,3,male,4,5,29125,Q
173,Si,3,female,1,2,11.1333,S
174,No,3,male,21,0,7925,S
175,No,1,male,56,0,30.6958,C
176,No,3,male,18,2,7.8542,S
177,No,3,male,29.6991176470588,4,25.4667,S
178,No,1,female,50,0,28.7125,C
179,No,2,male,30,0,13,S
180,No,3,male,36,0,0,S
181,No,3,female,29.6991176470588,10,69.55,S
182,No,2,male,29.6991176470588,0,15.05,C
183,No,3,male,9,6,31.3875,S
184,Si,2,male,1,3,39,S
185,Si,3,female,4,2,22025,S
186,No,1,male,29.6991176470588,0,50,S
187,Si,3,female,29.6991176470588,1,15.5,Q
188,Si,1,male,45,0,26.55,S
189,No,3,male,40,2,15.5,Q
190,No,3,male,36,0,7.8958,S
191,Si,2,female,32,0,13,S
192,No,2,male,19,0,13,S
193,Si,3,female,19,1,7.8542,S
194,Si,2,male,3,2,26,S
195,Si,1,female,44,0,27.7208,C
196,Si,1,female,58,0,146.5208,C
197,No,3,male,29.6991176470588,0,7.75,Q
198,No,3,male,42,1,8.4042,S
199,Si,3,female,29.6991176470588,0,7.75,Q
200,No,2,female,24,0,13,S
201,No,3,male,28,0,9.5,S
202,No,3,male,29.6991176470588,10,69.55,S
203,No,3,male,34,0,6.4958,S
204,No,3,male,45.5,0,7225,C
205,Si,3,male,18,0,8.05,S
206,No,3,female,2,1,10.4625,S
207,No,3,male,32,1,15.85,S
208,Si,3,male,26,0,18.7875,C
209,Si,3,female,16,0,7.75,Q
210,Si,1,male,40,0,31,C
211,No,3,male,24,0,7.05,S
212,Si,2,female,35,0,21,S
213,No,3,male,22,0,7.25,S
214,No,2,male,30,0,13,S
215,No,3,male,29.6991176470588,1,7.75,Q
216,Si,1,female,31,1,113275,C
217,Si,3,female,27,0,7925,S
218,No,2,male,42,1,27,S
219,Si,1,female,32,0,76.2917,C
220,No,2,male,30,0,10.5,S
221,Si,3,male,16,0,8.05,S
222,No,2,male,27,0,13,S
223,No,3,male,51,0,8.05,S
224,No,3,male,29.6991176470588,0,7.8958,S
225,Si,1,male,38,1,90,S
226,No,3,male,22,0,9.35,S
227,Si,2,male,19,0,10.5,S
228,No,3,male,20.5,0,7.25,S
229,No,2,male,18,0,13,S
230,No,3,female,29.6991176470588,4,25.4667,S
231,Si,1,female,35,1,83475,S
232,No,3,male,29,0,7775,S
233,No,2,male,59,0,13.5,S
234,Si,3,female,5,6,31.3875,S
235,No,2,male,24,0,10.5,S
236,No,3,female,29.6991176470588,0,7.55,S
237,No,2,male,44,1,26,S
238,Si,2,female,8,2,26.25,S
239,No,2,male,19,0,10.5,S
240,No,2,male,33,0,12275,S
241,No,3,female,29.6991176470588,1,14.4542,C
242,Si,3,female,29.6991176470588,1,15.5,Q
243,No,2,male,29,0,10.5,S
244,No,3,male,22,0,7125,S
245,No,3,male,30,0,7225,C
246,No,1,male,44,2,90,Q
247,No,3,female,25,0,7775,S
248,Si,2,female,24,2,14.5,S
249,Si,1,male,37,2,52.5542,S
250,No,2,male,54,1,26,S
251,No,3,male,29.6991176470588,0,7.25,S
252,No,3,female,29,2,10.4625,S
253,No,1,male,62,0,26.55,S
254,No,3,male,30,1,16.1,S
255,No,3,female,41,2,20.2125,S
256,Si,3,female,29,2,15.2458,C
257,Si,1,female,29.6991176470588,0,79.2,C
258,Si,1,female,30,0,86.5,S
259,Si,1,female,35,0,512.3292,C
260,Si,2,female,50,1,26,S
261,No,3,male,29.6991176470588,0,7.75,Q
262,Si,3,male,3,6,31.3875,S
263,No,1,male,52,2,79.65,S
264,No,1,male,40,0,0,S
265,No,3,female,29.6991176470588,0,7.75,Q
266,No,2,male,36,0,10.5,S
267,No,3,male,16,5,39.6875,S
268,Si,3,male,25,1,7775,S
269,Si,1,female,58,1,153.4625,S
270,Si,1,female,35,0,135.6333,S
271,No,1,male,29.6991176470588,0,31,S
272,Si,3,male,25,0,0,S
273,Si,2,female,41,1,19.5,S
274,No,1,male,37,1,29.7,C
275,Si,3,female,29.6991176470588,0,7.75,Q
276,Si,1,female,63,1,77.9583,S
277,No,3,female,45,0,7.75,S
278,No,2,male,29.6991176470588,0,0,S
279,No,3,male,7,5,29125,Q
280,Si,3,female,35,2,20.25,S
281,No,3,male,65,0,7.75,Q
282,No,3,male,28,0,7.8542,S
283,No,3,male,16,0,9.5,S
284,Si,3,male,19,0,8.05,S
285,No,1,male,29.6991176470588,0,26,S
286,No,3,male,33,0,8.6625,C
287,Si,3,male,30,0,9.5,S
288,No,3,male,22,0,7.8958,S
289,Si,2,male,42,0,13,S
290,Si,3,female,22,0,7.75,Q
291,Si,1,female,26,0,78.85,S
292,Si,1,female,19,1,91.0792,C
