"fecha";"casos_confirmados";"ingresos_hospitalarios";"ingresos_uci";"fallecimientos";"camas_planta_ocupadas";"camas_uci_ocupadas"
29/03/2020;1858;935;153;104;701;129
30/03/2020;2078;1094;156;106;759;134
31/03/2020;2272;1176;165;138;841;147
01/04/2020;2491;1234;168;169;918;147
02/04/2020;2700;1320;178;200;909;157
03/04/2020;2899;1431;180;224;943;163
04/04/2020;3078;1505;190;251;947;165
05/04/2020;3232;1588;233;270;896;166
06/04/2020;3347;1637;237;284;895;167
07/04/2020;3449;1663;247;312;904;165
08/04/2020;3549;1716;255;349;867;164
09/04/2020;3685;1765;261;385;816;163
10/04/2020;3831;1822;263;409;776;157
11/04/2020;3969;1860;266;425;712;158
12/04/2020;4070;1901;272;450;666;153
13/04/2020;4187;1938;274;464;664;154
14/04/2020;4245;1966;280;492;690;146
15/04/2020;4338;2006;282;514;660;138
16/04/2020;4566;2037;286;543;764;131
17/04/2020;4664;2151;240;562;620;131
18/04/2020;4761;2180;243;601;583;124
19/04/2020;4831;2216;246;619;548;121
20/04/2020;4886;2244;248;637;551;118
21/04/2020;4938;2271;250;643;573;119
22/04/2020;5054;2304;252;656;547;113
23/04/2020;5237;2340;253;681;516;103
24/04/2020;5295;2359;254;695;494;100
25/04/2020;5382;2372;255;709;499;93
26/04/2020;5456;2395;257;712;448;89
27/04/2020;5504;2403;257;726;459;89
28/04/2020;5557;2425;258;735;450;86
29/04/2020;5652;2454;258;736;436;83
30/04/2020;5971;2477;258;739;406;74
01/05/2020;6103;2494;260;749;359;67
02/05/2020;6164;2503;260;761;327;66
03/05/2020;6208;2519;260;761;327;66
04/05/2020;6239;2526;260;762;322;59
05/05/2020;6282;2539;260;770;327;58
06/05/2020;6382;2552;260;788;303;53
07/05/2020;6516;2564;262;800;294;46
08/05/2020;6575;2578;263;815;268;44
09/05/2020;6656;2583;263;823;249;39
10/05/2020;6702;2588;263;824;216;39
11/05/2020;6731;2595;263;825;225;37
12/05/2020;6797;2606;264;828;220;34
13/05/2020;6856;2614;265;829;210;28
14/05/2020;6943;2625;265;836;189;32
