"Genero","Edad","Efectivo","Online","GastoMedio","G"
"Hombre",37,"No","No",210.13,"R"
"Mujer",20,"No","No",108.73,"V"
"Hombre",53,"Si","Si",228.54,"R"
"Hombre",56,"Si","Si",215.74,"R"
"Mujer",31,"Si","No",208.97,"R"
"Mujer",55,"No","No",251.81,"R"
"Hombre",57,"Si","Si",222.17,"R"
"Mujer",33,"Si","No",219.67,"R"
"Mujer",57,"No","Si",243.84,"R"
"Hombre",62,"No","Si",199.84,"A"
"Hombre",61,"No","No",196.65,"A"
"Mujer",50,"No","Si",257.88,"R"
"Hombre",26,"No","No",157.52,"A"
"Mujer",35,"Si","No",230.85,"R"
"Mujer",69,"No","No",168.45,"A"
"Hombre",59,"Si","No",225.32,"R"
"Mujer",52,"No","No",261.16,"R"
"Hombre",69,"No","No",169.01,"A"
"Mujer",59,"No","Si",233.76,"R"
"Mujer",37,"Si","Si",234.42,"R"
"Mujer",47,"No","Si",264.36,"R"
"Mujer",29,"Si","Si",191.98,"A"
"Hombre",58,"No","Si",210.59,"R"
"Hombre",29,"No","No",172.46,"A"
"Mujer",56,"Si","Si",246.86,"R"
"Mujer",61,"Si","Si",221.49,"R"
"Mujer",39,"No","No",246.94,"R"
"Mujer",32,"Si","Si",211.07,"R"
"Mujer",32,"Si","No",211.29,"R"
"Mujer",40,"Si","No",252.23,"R"
"Hombre",46,"Si","Si",215.91,"R"
"Hombre",49,"Si","Si",230.89,"R"
"Mujer",49,"Si","Si",258.92,"R"
"Mujer",46,"Si","Si",260.44,"R"
"Mujer",68,"No","No",178.26,"A"
"Hombre",67,"Si","Si",168.3,"A"
"Hombre",44,"Si","Si",211.2,"R"
"Mujer",68,"Si","Si",176.18,"A"
"Mujer",35,"Si","Si",230.3,"R"
"Hombre",62,"No","Si",197.38,"A"
"Hombre",51,"No","No",230.76,"R"
"Mujer",39,"Si","No",244.33,"R"
"Hombre",40,"No","No",218.01,"R"
"Hombre",39,"No","Si",214.73,"R"
"Hombre",51,"Si","Si",244.47,"R"
"Mujer",24,"Si","Si",151.72,"A"
"Hombre",36,"No","No",197.14,"A"
"Hombre",53,"Si","No",220.03,"R"
"Hombre",61,"No","Si",193.19,"A"
"Hombre",65,"No","No",171.27,"A"
"Hombre",19,"No","Si",116.94,"V"
"Hombre",33,"Si","Si",174.83,"A"
"Hombre",29,"Si","No",149.33,"V"
"Hombre",53,"Si","Si",218.24,"R"
"Mujer",43,"No","No",256.95,"R"
"Mujer",58,"Si","Si",242.25,"R"
"Hombre",38,"No","Si",217.22,"R"
"Mujer",21,"No","No",118.26,"V"
"Mujer",36,"Si","Si",236.98,"R"
"Mujer",66,"Si","Si",191.53,"A"
"Hombre",70,"Si","No",164.81,"A"
"Mujer",70,"Si","Si",160.7,"A"
"Mujer",68,"Si","Si",175.45,"A"
"Mujer",66,"Si","No",193.69,"A"
"Hombre",21,"Si","Si",125.18,"V"
"Mujer",47,"Si","Si",262.72,"R"
"Mujer",60,"Si","Si",230.51,"R"
"Hombre",61,"No","Si",191.69,"A"
"Hombre",37,"No","No",210.08,"R"
"Hombre",42,"No","Si",217.08,"R"
"Hombre",54,"Si","No",224.31,"R"
"Mujer",32,"Si","Si",213.38,"R"
"Mujer",19,"No","Si",95.98,"M"
"Hombre",59,"No","Si",213.09,"R"
"Mujer",32,"Si","No",212.72,"R"
"Hombre",47,"No","No",220.52,"R"
"Mujer",39,"Si","No",248.05,"R"
"Hombre",60,"No","Si",210.19,"R"
"Hombre",26,"Si","Si",130.49,"V"
"Hombre",49,"No","Si",206.69,"R"
"Hombre",54,"Si","No",223.93,"R"
"Mujer",51,"Si","Si",259.13,"R"
"Mujer",36,"No","Si",235.96,"R"
"Mujer",37,"No","No",239.28,"R"
"Hombre",62,"No","Si",199.39,"A"
"Hombre",62,"Si","No",198.86,"A"
"Mujer",33,"Si","Si",216.08,"R"
"Hombre",31,"Si","Si",181.27,"A"
"Hombre",62,"Si","Si",200.86,"R"
"Hombre",59,"No","Si",214.85,"R"
"Hombre",41,"No","Si",227.51,"R"
"Mujer",55,"Si","No",255.66,"R"
"Mujer",20,"No","Si",110.99,"V"
"Hombre",48,"No","Si",227.34,"R"
"Mujer",60,"No","No",225.47,"R"
"Hombre",65,"No","No",189.61,"A"
"Mujer",66,"Si","Si",189.12,"A"
"Hombre",20,"Si","Si",113.07,"V"
"Mujer",49,"Si","Si",256,"R"
"Mujer",43,"Si","Si",257.23,"R"
"Mujer",66,"Si","Si",193.74,"A"
"Hombre",48,"Si","Si",221.84,"R"
"Hombre",23,"No","No",122.04,"V"
"Hombre",66,"Si","No",176.29,"A"
"Mujer",52,"No","No",257.87,"R"
"Mujer",69,"Si","Si",171.09,"A"
"Mujer",46,"Si","No",262.97,"R"
"Mujer",67,"Si","No",185.52,"A"
"Hombre",64,"No","Si",189.46,"A"
"Mujer",41,"Si","Si",252.17,"R"
"Mujer",27,"Si","No",175.99,"A"
"Mujer",69,"Si","Si",168.08,"A"
"Hombre",48,"Si","Si",226.29,"R"
"Mujer",26,"Si","Si",166.84,"A"
"Mujer",37,"Si","No",241.77,"R"
"Hombre",35,"No","Si",196.44,"A"
"Mujer",67,"Si","Si",187.87,"A"
"Mujer",55,"Si","No",251.03,"R"
"Hombre",46,"No","No",224.17,"R"
"Hombre",41,"Si","Si",224.6,"R"
"Mujer",35,"Si","Si",230.72,"R"
"Mujer",63,"Si","No",213.27,"R"
"Hombre",65,"No","No",181.45,"A"
"Hombre",63,"No","No",201.5,"R"
"Hombre",42,"No","No",223.47,"R"
"Mujer",44,"Si","No",258.28,"R"
"Hombre",68,"No","Si",163.18,"A"
"Mujer",57,"Si","No",240.65,"R"
"Hombre",50,"No","No",225.26,"R"
"Mujer",28,"No","No",187.47,"A"
"Mujer",47,"Si","Si",257.75,"R"
"Mujer",21,"Si","Si",123.16,"V"
"Hombre",58,"Si","No",228.83,"R"
"Hombre",40,"No","No",215.38,"R"
"Mujer",67,"Si","Si",184.04,"A"
"Hombre",66,"No","No",191.6,"A"
"Hombre",57,"No","Si",226.62,"R"
"Mujer",53,"Si","Si",258.12,"R"
"Mujer",56,"Si","Si",243.4,"R"
"Hombre",36,"Si","Si",213.99,"R"
"Mujer",65,"Si","No",197.8,"A"
"Hombre",57,"Si","Si",217.48,"R"
"Mujer",68,"Si","No",176.56,"A"
"Hombre",67,"No","No",174.28,"A"
"Mujer",61,"Si","No",223.28,"R"
"Mujer",62,"Si","Si",217.97,"R"
"Mujer",18,"No","Si",87.25,"M"
"Hombre",22,"No","No",116.01,"V"
"Hombre",50,"No","No",232.98,"R"
"Mujer",60,"No","No",229.08,"R"
"Mujer",20,"Si","Si",112.49,"V"
"Mujer",41,"Si","Si",253.81,"R"
"Mujer",68,"No","No",177.62,"A"
"Mujer",58,"No","No",241.1,"R"
"Hombre",31,"No","No",172.41,"A"
"Mujer",18,"Si","No",83.69,"M"
"Hombre",38,"Si","Si",202.19,"R"
"Mujer",68,"Si","No",178.05,"A"
"Hombre",25,"No","Si",149.98,"V"
"Mujer",27,"Si","No",178.5,"A"
"Hombre",27,"No","No",157.82,"A"
"Mujer",28,"No","Si",186.48,"A"
"Hombre",53,"Si","Si",227.54,"R"
"Mujer",35,"No","No",229.18,"R"
"Hombre",22,"No","No",123.07,"V"
"Hombre",25,"Si","Si",132.56,"V"
"Mujer",41,"No","Si",250.67,"R"
"Mujer",22,"Si","No",128.32,"V"
"Mujer",48,"Si","Si",261.58,"R"
"Mujer",40,"Si","Si",250.24,"R"
"Mujer",44,"Si","Si",259.46,"R"
"Hombre",42,"No","No",212.44,"R"
"Hombre",63,"No","Si",206.28,"R"
"Mujer",63,"Si","Si",211.81,"R"
"Mujer",53,"No","No",253.05,"R"
"Hombre",26,"No","No",159.76,"A"
"Mujer",62,"Si","Si",218.55,"R"
"Hombre",52,"Si","No",234.01,"R"
"Mujer",47,"No","Si",261.53,"R"
"Hombre",24,"Si","Si",137.52,"V"
"Mujer",44,"Si","Si",257.69,"R"
"Hombre",51,"No","No",226.88,"R"
"Mujer",55,"No","Si",251.02,"R"
"Hombre",62,"No","No",187.38,"A"
"Hombre",50,"Si","Si",223.7,"R"
"Mujer",50,"No","No",256.95,"R"
"Hombre",52,"Si","No",229.12,"R"
"Mujer",59,"Si","Si",232.25,"R"
