Clase,Sexo,Edad,Precio,Survived
P,female,A,A,Si
P,female,A,A,Si
S,female,J,B,Si
P,female,M,B,Si
S,female,M,B,Si
P,female,A,A,Si
S,female,A,B,No
S,female,N,A,Si
P,female,M,A,Si
S,female,A,B,Si
S,female,J,C,Si
S,female,N,B,Si
P,female,A,A,Si
S,female,A,C,Si
S,female,J,C,Si
P,female,J,A,Si
S,female,A,B,Si
S,female,A,C,Si
S,female,A,B,Si
P,female,J,B,Si
P,female,J,A,Si
S,female,A,B,Si
P,female,A,A,Si
P,female,M,B,No
S,female,A,C,Si
P,female,M,B,Si
P,female,M,A,Si
S,female,J,C,No
S,female,A,B,Si
P,female,A,A,Si
P,female,A,A,Si
P,female,A,A,Si
S,female,N,B,Si
S,female,J,C,Si
P,female,A,A,Si
P,female,A,A,Si
P,female,A,A,Si
S,female,M,B,Si
P,female,M,A,Si
P,female,A,A,Si
S,female,M,B,Si
P,female,M,A,Si
P,female,A,A,Si
P,female,J,A,Si
P,female,N,A,No
P,female,M,A,Si
S,female,A,C,Si
P,female,A,A,Si
P,female,J,A,Si
P,female,A,A,Si
P,female,J,A,Si
P,female,J,A,Si
S,female,A,B,No
S,female,J,B,Si
P,female,A,A,Si
P,female,A,A,Si
S,female,A,C,Si
S,female,J,B,Si
P,female,A,A,Si
S,female,A,C,Si
P,female,J,A,Si
P,female,A,A,Si
P,female,M,A,Si
P,female,J,A,Si
S,female,J,C,Si
S,female,A,C,Si
P,female,J,A,Si
S,female,A,C,No
P,female,M,A,Si
P,female,J,A,Si
P,female,A,A,Si
P,female,M,A,Si
P,female,A,A,Si
S,female,A,C,Si
S,female,J,C,Si
P,female,J,A,Si
S,female,A,C,Si
P,female,A,A,Si
S,female,A,B,Si
S,female,J,C,Si
S,female,A,B,Si
S,female,J,B,Si
S,female,M,B,Si
P,female,J,A,Si
S,female,J,B,Si
S,female,M,B,Si
S,female,A,C,Si
S,female,J,B,Si
P,female,A,A,Si
S,female,M,C,Si
S,female,A,B,Si
S,female,J,C,Si
P,female,A,A,Si
P,female,M,A,Si
P,female,J,A,No
P,female,J,A,Si
S,female,A,B,Si
P,female,M,A,Si
S,female,A,C,Si
