Fecha;Ultimo;Apertura;Maximo;Minimo;Vol.;% var.
01/03/2024;10064.7;10.014,50;10.108,00;10.008,80;;0,63%
29/02/2024;10001.3;10.054,40;10.095,70;10.001,00;340,77M;-0,67%
28/02/2024;10068.6;10.099,20;10.127,10;10.028,90;128,59M;-0,45%
27/02/2024;10113.8;10.113,50;10.125,30;10.058,40;110,77M;-0,24%
26/02/2024;10138.4;10.126,20;10.157,30;10.102,50;104,52M;0,08%
23/02/2024;10130.6;10.123,50;10.136,70;10.064,30;108,88M;-0,08%
22/02/2024;10138.9;10.174,90;10.196,40;10.120,90;155,63M;0,31%
21/02/2024;10107.2;10.051,20;10.127,30;10.031,50;105,19M;0,69%
20/02/2024;10038.2;9.941,70;10.048,30;9.926,50;118,74M;0,94%
19/02/2024;9944.8;9.885,00;9.954,80;9.878,30;87,43M;0,59%
16/02/2024;9886.4;9.977,40;9.978,40;9.841,60;126,33M;-0,41%
15/02/2024;9927.3;9.955,00;9.963,90;9.861,20;113,53M;0,11%
14/02/2024;9916.6;9.923,70;9.991,50;9.913,30;119,51M;-0,09%
13/02/2024;9925.4;9.986,80;10.004,10;9.908,20;131,00M;-0,59%
12/02/2024;9984.7;9.939,10;9.987,00;9.929,30;95,62M;0,89%
09/02/2024;9896.6;9.907,30;9.921,40;9.857,40;153,14M;-0,09%
08/02/2024;9905.4;9.913,10;9.952,40;9.899,40;110,77M;0,17%
07/02/2024;9888.2;9.977,80;9.985,90;9.871,60;154,16M;-1,15%
06/02/2024;10003;9.988,20;10.013,60;9.941,60;148,02M;0,62%
05/02/2024;9941.3;10.047,40;10.083,10;9.928,60;187,04M;-1,20%
02/02/2024;10062.5;10.087,60;10.132,80;10.033,70;161,36M;0,48%
01/02/2024;10014;10.034,00;10.149,60;9.986,40;208,76M;-0,63%
31/01/2024;10077.7;10.064,80;10.128,00;10.042,80;171,87M;0,38%
30/01/2024;10039.3;9.906,50;10.050,70;9.888,40;139,74M;1,51%
29/01/2024;9890.3;9.939,50;9.944,00;9.864,20;112,77M;-0,47%
26/01/2024;9936.6;9.918,00;9.973,00;9.910,10;107,71M;0,20%
25/01/2024;9916.6;9.941,70;9.941,70;9.863,80;162,81M;-0,58%
24/01/2024;9974;9.899,20;9.974,00;9.892,80;126,37M;1,16%
23/01/2024;9859.2;9.984,30;10.000,60;9.845,10;119,17M;-1,09%
22/01/2024;9968.1;9.915,40;9.980,80;9.903,20;105,12M;1,11%
19/01/2024;9858.3;9.918,60;9.931,00;9.823,70;146,59M;-0,22%
18/01/2024;9880.3;9.877,50;9.901,50;9.798,80;134,13M;0,13%
17/01/2024;9867.8;9.914,00;9.916,80;9.826,60;133,88M;-1,26%
16/01/2024;9994.1;10.021,40;10.024,30;9.955,00;138,28M;-0,82%
15/01/2024;10076.9;10.119,30;10.135,30;10.048,60;87,93M;-0,18%
12/01/2024;10094.8;10.024,40;10.134,70;10.023,80;134,25M;0,90%
11/01/2024;10004.9;10.110,40;10.151,80;10.004,90;134,22M;-0,62%
10/01/2024;10067.1;10.052,70;10.079,80;10.017,80;136,82M;0,07%
09/01/2024;10060.3;10.158,00;10.181,90;9.994,00;157,19M;-1,46%
08/01/2024;10209;10.142,30;10.209,00;10.079,30;110,11M;0,44%
05/01/2024;10164.5;10.128,50;10.192,00;10.061,20;145,04M;-0,18%
04/01/2024;10182.4;10.070,00;10.190,80;10.067,50;110,89M;1,28%
03/01/2024;10053.4;10.183,20;10.209,80;10.038,10;136,61M;-1,26%
02/01/2024;10182.1;10.161,30;10.287,90;10.122,40;137,05M;0,79%
29/12/2023;10102.1;10.092,20;10.143,60;10.090,90;101,94M;0,16%
28/12/2023;10086.2;10.124,00;10.136,30;10.074,60;95,15M;-0,35%
27/12/2023;10121.8;10.096,10;10.146,80;10.077,90;130,95M;0,10%
26/12/2023;10111.9;10.094,20;10.143,10;10.081,00;91,97M;0,00%
25/12/2023;10111.9;10.094,20;10.143,10;10.081,00;91,97M;0,00%
22/12/2023;10111.9;10.094,20;10.143,10;10.081,00;91,97M;0,08%
21/12/2023;10104.3;10.068,60;10.108,50;10.063,30;84,14M;0,03%
20/12/2023;10101;10.151,20;10.158,20;10.037,50;146,80M;-0,06%
19/12/2023;10106.7;10.054,10;10.123,10;10.023,80;115,24M;0,52%
18/12/2023;10054.9;10.064,40;10.125,80;10.039,30;134,02M;-0,40%
15/12/2023;10095.6;10.194,90;10.200,80;10.050,70;330,24M;-0,75%
14/12/2023;10171.7;10.224,60;10.257,80;10.124,10;255,85M;0,75%
13/12/2023;10096.1;10.116,00;10.158,70;10.077,00;142,96M;-0,22%
12/12/2023;10118.7;10.184,10;10.198,40;10.111,40;145,12M;-0,78%
11/12/2023;10198;10.220,10;10.226,60;10.178,20;140,39M;-0,25%
08/12/2023;10223.4;10.155,10;10.229,20;10.139,40;139,11M;0,76%
07/12/2023;10146;10.225,40;10.246,70;10.113,90;210,70M;-1,09%
06/12/2023;10258.1;10.266,10;10.301,30;10.229,70;134,30M;0,19%
05/12/2023;10238.4;10.177,00;10.262,90;10.166,10;137,17M;0,59%
04/12/2023;10178.3;10.139,10;10.201,70;10.135,80;105,50M;0,37%
01/12/2023;10140.8;10.084,50;10.140,80;10.080,90;117,75M;0,82%
30/11/2023;10058.2;10.082,40;10.103,80;10.053,80;252,84M;-0,04%
29/11/2023;10062.6;10.027,70;10.097,90;10.018,40;129,37M;0,59%
28/11/2023;10003.4;9.924,60;10.014,30;9.919,50;118,65M;0,68%
27/11/2023;9936.1;9.925,90;9.983,90;9.925,80;112,10M;-0,03%
24/11/2023;9939;9.907,90;9.957,30;9.901,90;93,31M;0,34%
23/11/2023;9905.5;9.891,00;9.921,10;9.873,90;111,60M;0,18%
22/11/2023;9887.4;9.853,40;9.897,20;9.847,10;125,07M;0,61%
21/11/2023;9827.5;9.830,40;9.858,40;9.801,70;141,83M;-0,12%
20/11/2023;9839;9.760,90;9.857,00;9.759,70;144,06M;0,79%
17/11/2023;9761.4;9.696,80;9.774,70;9.693,60;249,66M;0,97%
16/11/2023;9667.4;9.654,60;9.710,40;9.652,50;132,37M;0,28%
15/11/2023;9640.7;9.634,50;9.684,90;9.604,00;161,16M;0,18%
14/11/2023;9623.3;9.489,30;9.636,60;9.471,80;171,92M;1,71%
13/11/2023;9461.7;9.415,90;9.463,30;9.401,00;142,30M;0,96%
10/11/2023;9371.7;9.364,50;9.415,20;9.329,30;122,58M;-0,36%
09/11/2023;9405.2;9.293,20;9.420,20;9.291,20;133,34M;1,31%
08/11/2023;9283.8;9.203,60;9.326,50;9.200,30;146,54M;0,52%
07/11/2023;9235.9;9.209,20;9.279,80;9.201,30;113,90M;-0,06%
06/11/2023;9241.5;9.297,40;9.313,60;9.224,70;114,37M;-0,56%
03/11/2023;9293.9;9.294,70;9.339,80;9.249,60;152,57M;0,36%
02/11/2023;9260.4;9.122,20;9.278,10;9.101,90;152,58M;2,04%
01/11/2023;9075;9.039,90;9.093,30;8.999,80;121,70M;0,64%
31/10/2023;9017.3;8.980,10;9.084,90;8.959,60;189,06M;0,04%
30/10/2023;9013.9;8.953,90;9.048,40;8.945,90;164,43M;1,07%
27/10/2023;8918.3;9.016,10;9.037,30;8.904,10;178,44M;-0,50%
26/10/2023;8962.8;8.924,00;8.978,50;8.879,30;164,23M;-0,24%
25/10/2023;8984.8;8.960,70;9.000,80;8.898,00;149,18M;0,10%
24/10/2023;8975.8;9.004,00;9.029,00;8.950,80;162,19M;-0,22%
23/10/2023;8995.5;9.028,90;9.037,00;8.920,70;139,16M;-0,37%
20/10/2023;9029.1;9.065,50;9.098,30;9.021,80;230,89M;-1,29%
19/10/2023;9146.8;9.175,80;9.189,70;9.101,10;143,37M;-0,72%
18/10/2023;9212.7;9.278,50;9.305,70;9.202,50;108,13M;-0,92%
17/10/2023;9298.5;9.264,80;9.323,40;9.219,50;79,83M;0,12%
16/10/2023;9287.1;9.244,30;9.306,00;9.174,20;105,25M;0,59%
13/10/2023;9232.9;9.316,20;9.363,40;9.223,80;143,09M;-1,10%
12/10/2023;9336;9.403,10;9.434,50;9.322,00;94,38M;-0,26%
11/10/2023;9360.4;9.302,00;9.381,70;9.297,50;108,81M;0,09%
10/10/2023;9352.1;9.220,30;9.371,90;9.217,90;129,14M;2,19%
09/10/2023;9151.3;9.180,60;9.223,00;9.111,80;135,29M;-0,91%
06/10/2023;9235.8;9.180,90;9.235,80;9.110,40;122,39M;0,85%
05/10/2023;9157.7;9.157,70;9.193,30;9.096,00;114,92M;0,60%
04/10/2023;9102.9;9.136,50;9.186,40;9.077,60;139,57M;-0,68%
03/10/2023;9165.5;9.283,50;9.369,60;9.164,00;142,88M;-1,65%
02/10/2023;9319;9.448,40;9.495,10;9.299,40;157,52M;-1,16%
29/09/2023;9428;9.458,70;9.508,30;9.423,00;139,26M;0,01%
28/09/2023;9426.8;9.343,80;9.442,30;9.311,50;171,53M;1,02%
27/09/2023;9331.9;9.363,50;9.420,90;9.311,80;106,34M;-0,37%
26/09/2023;9366.9;9.326,80;9.405,40;9.307,10;121,93M;-0,20%
25/09/2023;9386;9.468,80;9.523,90;9.337,70;107,47M;-1,22%
22/09/2023;9502;9.496,10;9.542,60;9.477,00;100,12M;-0,49%
21/09/2023;9548.9;9.585,60;9.606,80;9.475,20;120,72M;-1,00%
20/09/2023;9645.8;9.550,20;9.672,20;9.539,10;125,81M;1,24%
19/09/2023;9527.2;9.460,50;9.550,10;9.458,50;88,18M;0,48%
18/09/2023;9482.1;9.538,40;9.553,90;9.455,30;109,94M;-0,71%
15/09/2023;9549.7;9.605,60;9.642,00;9.524,70;348,28M;0,01%
14/09/2023;9549;9.422,40;9.563,10;9.380,00;134,00M;1,33%
